EventId,EventTemplate,Occurrences
a94347ac,MotoDisplayWakeLock,94
01add6cf,<*> (partial),1972
8b5c835e,*job*/c.a.v/c.g.a.f.s.p.m.PhoneskyJobServiceMain,3
0205b19e,deviceidle_going_idle,2
4e4b905a,*telephony-radio*,474
bd108789,NetworkStats,35
04cd0834,Doze,19
8cce89f2,Scrims,13
3e9981ae,GCM_READ,11
b44ae528,GCM_WORK,25
4fd4578c,GOOGLE_C2DM,8
ff05e770,IWLAN_PROXY_WL,43
0aca88b2,RILJ_ACK_WL,31
967d95fb,com.android.server.stats.StatsCompanionService$PullingAlarmListener,6
14e9711f,*alarm*,30
8b7e51dd,*location*,24
237d19a3,Wakeful StateMachine: GeofencerStateMachine (partial),43
f4f09ce2,Wakeful StateMachine: GeofencerStateMachine,43
f14e19a1,DreamManagerService,6
f3598e67,SyncLoopWakeLock,128
f083762a,PhoneWindowManager.mPowerKeyWakeLock,7
3165aaef,IntentOp:.c.b.BackgroundBroadcastReceiverSupport$PersistentReceiverIntentOperation,45
3f0d8db2,CMWakeLock,107
03b55498,NlpWakeLock,190
e06004e6,GCoreFlp,69
6215e638,UlrDispSvcFastWL,70
1c6f7b2c,FusedLocation,7
42710fe9,*gms_scheduler*:internal,127
c9f3220c,GCM_CONN_ALARM,3
69535586,Icing,54
418d3d04,IntentOp:.u.e.InstallationIntentOperation,5
f1f0e3a8,IntentOp:.c.c.InitConfigOperation,5
67ae9a41,IntentOp:c.g.a.g/.c.PersistentIntentOperationService,4
251455f9,IntentOp:.c.a.AppDoctorConfigChangedIntentOperation,2
05e23ac7,IntentOp:.s.c.ControlledEventsPhenotypeUpdateOperation,2
929e4cf5,DreamManagerService (doze),4
bc76bc23,startDream,4
80d9cabe,WifiSuspend,4
8862b859,bugle_datamodel_executor_wakelock,12
73eca7db,AnalyticsIntentService,9
5f42c2b8,AudioMix,15
16501530,*job*/c.g.a.a.m/a.w.i.b.s.SystemJobService,4
a0958b05,*job*/c.g.a.e.s/a.w.i.b.s.SystemJobService,2
b1fbea3c,IntentOp:.f.s.l.BluetoothStateChangeListenerIntentOperation,10
7fcb5214,IntentOp:c.g.a.g/.c.GmsIntentOperationService,10
8398adf0,*vibrator*,47
cd38ae6b,*job*/c.m.m/c.m.m.e.s.p.a.AppUsageDataCollector,3
18dd6c86,*job*/c.g.a.g.c/c.g/l.u.e.br:android,7
4b2d3a3d,*sync*/com.google.android.gms.chromesync/com.google/lsp@icomp.ufam.edu.br,5
87708950,*gms_scheduler*/c.g.a.g/.t.g.TapAndPayGcmTaskService,9
cea64521,*job*/c.m.m/c.m.m.s.d.b.BatteryLevelJob,1
5d7e68bf,*job*/c.g.a.g.c/c.g/l.com:android,6
77110e21,*sync*/com.google.android.gms.chromesync/com.google/larissadasilvapessoa0@gmail.com,6
995fae73,*gms_scheduler*/c.g.a.g/.c.CheckinService,1
2a32fdcc,*job*/c.g.a.a.w/.a.i.AutoDndJobService,1
301e0173,*job*/c.g.a.i.l/c.g.a.l.i.t.JobSchedulerImpl$TaskRunnerJobService,1
a6ed39c3,*job*/c.m.m/.a.AnalyticsIntentService,7
566960aa,*job*/c.m.m/c.m.m.p.d.LoadDatasetJobService,2
d1d8103b,*job*/c.g.a.a.w/.p.i.PowerStateJobService,1
3eecf011,*job*/c.g.a.g.r/c.g/l.u.e.br:android,2
300a2629,*gms_scheduler*/c.g.a.g/.c.u.QosUploaderService,4
5a81bcef,*sync*/com.google.android.gms.reminders/com.google/larissadasilvapessoa0@gmail.com,1
3efffa06,*job*/c.g.a.g.r/c.g/l.com:android,1
aa7015bb,*gms_scheduler*/c.g.a.g/.g.c.SchedulePeriodicTasksService,2
