EventId,EventTemplate,Occurrences
3d4b6ff6,"Fatal signal <*> (SIGABRT), code -<*> (SI_QUEUE) in tid <*> (init), pid <*> (init)",3
0f92fa14,"crash_dump helper failed to exec, or was killed",5
32955588,getPreferredLaunchDisplay userset_displayid <*> current displayId -<*>,45
b503feb1,Tried to set launchTime (<*>) < mLastActivityLaunchTime (<*>),14
7e21f21e,Changing focus of displayId=<*> to <*> <*> <*> <*> <*>,76
3798105d,MotoDisplayed <*>,20
10837f2a,SURFACE <*> <*> on display:<*>,206
4ecde587,"Display device changed: DisplayDeviceInfo{""Tela integrada"": uniqueId=""local:<*>"", <*> x <*>, modeId <*>, defaultModeId <*>, supportedModes [{id=<*>, width=<*>, height=<*>, fps=<*>.<*>, alternativeRefreshRates=[<*>.<*>]}, {id=<*>, width=<*>, height=<*>, fps=<*>.<*>, alternativeRefreshRates=[<*>.<*>]}], supportedReadyForModes [], colorMode <*>, supportedColorModes [<*>, <*>], hdrCapabilities HdrCapabilities{mSupportedHdrTypes=[<*>, <*>], mMaxLuminance=<*>.<*>, mMaxAverageLuminance=<*>.<*>, mMinLuminance=<*>.<*>}, allmSupported false, gameContentTypeSupported false, density <*>, <*>.<*> x <*>.<*> dpi, appVsyncOff <*>, presDeadline <*>, cutout DisplayCutout{insets=Rect(<*>, <*> - <*>, <*>) waterfall=Insets{left=<*>, top=<*>, right=<*>, bottom=<*>} boundingRect={Bounds=[Rect(<*>, <*> - <*>, <*>), Rect(<*>, <*> - <*>, <*>), Rect(<*>, <*> - <*>, <*>), Rect(<*>, <*> - <*>, <*>)]} cutoutPathParserInfo={CutoutPathParserInfo{displayWidth=<*> displayHeight=<*> density={<*>.<*>} cutoutSpec={M -<*>,<*> L -<*>,<*> L <*>,<*> L <*>,<*> Z} rotation={<*>} scale={<*>.<*>}}}}, touch INTERNAL, rotation <*>, type INTERNAL, address {port=<*>, model=<*>}, deviceProductInfo DeviceProductInfo{name=, manufacturerPnpId=QCM, productId=<*>, modelYear=null, manufactureDate=ManufactureDate{week=<*>, year=<*>}, connectionToSinkType=<*>}, state ON, frameRateOverride , brightnessMinimum <*>.<*>, brightnessMaximum <*>.<*>, brightnessDefault <*>.<*>, roundedCorners RoundedCorners{[RoundedCorner{position=TopLeft, radius=<*>, center=Point(<*>, <*>)}, RoundedCorner{position=TopRight, radius=<*>, center=Point(<*>, <*>)}, RoundedCorner{position=BottomRight, radius=<*>, center=Point(<*>, <*>)}, RoundedCorner{position=BottomLeft, radius=<*>, center=Point(<*>, <*>)}]}, FLAG_DEFAULT_DISPLAY, FLAG_ROTATES_WITH_CONTENT, FLAG_SECURE, FLAG_SUPPORTS_PROTECTED_BUFFERS}",603
f1b23b2c,User[<*>] Flushing usage stats to disk,7
dfac4d44,"canAuthenticate: User=<*>, Caller=<*>, Authenticators=<*>",137
d270553e,Package: <*> Sensor ID: <*> Modality: <*> Status: <*>,274
87d835bf,getCanAuthenticateInternal Modality: <*> AuthenticatorStatus: <*>,137
a90080bd,"canAuthenticate, userId: <*>, callingUserId: <*>, authenticators: <*>, result: <*>",137
559ce3ac,"uevent={POWER_SUPPLY_DP_DM=<*>, POWER_SUPPLY_VOLTAGE_QNOVO=-<*>, POWER_SUPPLY_VOLTAGE_NOW=<*>, POWER_SUPPLY_SW_JEITA_ENABLED=<*>, POWER_SUPPLY_FORCE_RECHARGE=<*>, POWER_SUPPLY_CHARGE_CONTROL_LIMIT_MAX=<*>, POWER_SUPPLY_RECHARGE_SOC=<*>, POWER_SUPPLY_HEALTH=Good, POWER_SUPPLY_TECHNOLOGY=Li-ion, POWER_SUPPLY_CHARGER_TEMP_MAX=<*>, POWER_SUPPLY_CHARGE_FULL_DESIGN=<*>, POWER_SUPPLY_FCC_STEPPER_ENABLE=<*>, SEQNUM=<*>, POWER_SUPPLY_INPUT_CURRENT_LIMITED=<*>, POWER_SUPPLY_CHARGE_CONTROL_LIMIT=<*>, POWER_SUPPLY_STATUS=Discharging, POWER_SUPPLY_CYCLE_COUNT=<*>, POWER_SUPPLY_BATTERY_CHARGING_ENABLED=<*>, POWER_SUPPLY_CURRENT_MAX=<*>, POWER_SUPPLY_CHARGE_TERM_CURRENT=-<*>, POWER_SUPPLY_CAPACITY=<*>, DEVPATH=<*>.qcom,spmi<*>.qcom,spmi:qcom,pmi632@<*>:qcom,qpnp-smb5<*>, POWER_SUPPLY_CHARGE_DONE=<*>, POWER_SUPPLY_CHARGE_TYPE=N<*>, POWER_SUPPLY_CHARGE_RATE=None, POWER_SUPPLY_CURRENT_QNOVO=-<*>, POWER_SUPPLY_CURRENT_NOW=-<*>, POWER_SUPPLY_SYSTEM_TEMP_LEVEL=<*>, POWER_SUPPLY_PRESENT=<*>, POWER_SUPPLY_PARALLEL_DISABLE=<*>, POWER_SUPPLY_CHARGE_FULL=<*>, POWER_SUPPLY_TIME_TO_FULL_NOW=-<*>, POWER_SUPPLY_CONSTANT_CHARGE_CURRENT=<*>, SUBSYSTEM=power_supply, POWER_SUPPLY_SET_SHIP_MODE=<*>, POWER_SUPPLY_TEMP=<*>, ACTION=change, POWER_SUPPLY_RERUN_AICL=<*>, POWER_SUPPLY_AGE=<*>, POWER_SUPPLY_NAME=battery, POWER_SUPPLY_VOLTAGE_MAX=-<*>, POWER_SUPPLY_CONSTANT_CHARGE_CURRENT_MAX=<*>, POWER_SUPPLY_CHARGE_COUNTER=<*>, POWER_SUPPLY_STEP_CHARGING_ENABLED=<*>, POWER_SUPPLY_NUM_SYSTEM_TEMP_LEVELS=<*>, POWER_SUPPLY_DIE_HEALTH=Unknown, POWER_SUPPLY_INPUT_SUSPEND=<*>}",386
c9e22b01,Failed to read cpu-freq stats for CPUs <*><*>,140
194bd27f,"Negative delta from active time for uid: <*>, delta: -<*>",69
0eb30326,START u0 <*> <*> <*> <*> <*> from uid <*>,7
c8d201a8,"reply too large data on java level: InterfaceDescriptor = null, code = <*>",11
53aa1440,Slow <*> took <*> <*> <*> <*> m=<*>,24
cb6eebac,Noting op not finished: uid <*> pkg <*> code <*> startTime of in progress event=<*>,35
2a8b0c47,Killing <*> (adj <*>): empty for <*>,24
d791669e,START u0 <*> <*> <*> from uid <*>,3
1f87d0cd,SOFT_INPUT_STATE_VISIBLE is ignored because there is no focused view that also returns true from View#onCheckIsTextEditor(),1
fda4e672,Deleting file <*>,17
708a3795,Alarms must either supply a PendingIntent or an AlarmReceiver,13
59710913,Compat change id reported: <*>; UID <*>; state: <*>,737
1bf36518,Start proc <*> for <*> <*>,68
48f0cac0,No listener is left,3
3b049651,Attempted to add notif for locked<*> user <*>,13
4b17cd11,"Brightness [<*>.<*>] reason changing to: 'automatic [ dim ]', previous reason: 'automatic'.",3
ce3650a2,"Powering off display group due to <*> (groupId= <*>, uid= <*>)...",3
447e975b,Going to sleep due to <*> (uid <*>)...,3
caa33ffb,"setInteractive false, called by = <*>",8
ed8b036b,<*> going to sleep... <*>,6
25d024c8,Stopping service due to app idle: <*> <*> <*><*>.<*>,16
878d5f45,isEncrypted: false isLockdown: false,3
a7decbce,"[<*>] {[<*>] <*> proto=<*>, <*> cookie=<*>, userId=<*>}, new queue size: <*>",6
38795495,"<*> {[<*>] <*> proto=<*>, <*> cookie=<*>, userId=<*>}, State: <*>",12
322cb47d,"[Started] {[<*>] <*> proto=<*>, <*> cookie=<*>, userId=<*>}",6
7a5acb7f,"Already user: <*>, returning",3
d318cea5,"Brightness [<*>.<*>] reason changing to: 'automatic', previous reason: 'automatic [ dim ]'.",3
4832bab6,"Not idle, current operation: {[<*>] FingerprintUpdateActiveUserClient, proto=<*>, owner=android, cookie=<*>, userId=<*>}, State: <*>",3
626cc8a9,"[Finishing] {[<*>] <*> proto=<*>, <*> cookie=<*>, userId=<*>}, success: true",6
7cd9d62a,"Notifying gesture availability, <*>",6
c53bea04,"<*> client: {[<*>] FingerprintAuthenticationClient, proto=<*>, owner=<*>, cookie=<*>, userId=<*>}",6
f0732ed3,"Fps state updated from <*> to <*>, client {[<*>] FingerprintAuthenticationClient, proto=<*>, owner=<*>, cookie=<*>, userId=<*>}",3
3df05222,Requesting auth for <*>,3
264000a7,Blocking screen off,8
6583ac5a,Unblocked screen off after <*> ms,8
204588c9,Display0 turned off...,8
7e6725c7,Top Process State changed to <*>,6
6832516c,Tracking association SourceState{<*> <*> BTopFgs #<*>} whose proc state <*> is better than process ProcessState{<*> <*> pkg=<*>} proc state <*> (<*> skipped),162
be7103eb,Brightness [<*>.<*>] reason changing to: <*> previous reason: <*>,27
5c1712e3,"Display device changed state: ""Tela integrada"", <*>",16
94bd75dc,<*> dreamland.,6
5130da95,Dozing...,3
6f07c1e9,"Starting dream: name=ComponentInfo{<*><*>.<*>}, isTest=false, canDoze=true, userId=<*>",3
d8974074,Changing focus of displayId=<*> to Window{<*> u0 <*> from Window{<*> u0 <*>,23
bde04bbe,"Receiver with filter <*>@<*> already registered for pid <*>, callerPackage is <*>",8
0242d2ca,<*> component <*>/.notification.DisplayNotifListenerService,6
3b006dc0,"Display device changed: DisplayDeviceInfo{""Tela integrada"": uniqueId=""local:<*>"", <*> x <*>, modeId <*>, defaultModeId <*>, supportedModes [{id=<*>, width=<*>, height=<*>, fps=<*>.<*>, alternativeRefreshRates=[<*>.<*>]}, {id=<*>, width=<*>, height=<*>, fps=<*>.<*>, alternativeRefreshRates=[<*>.<*>]}], supportedReadyForModes [], colorMode <*>, supportedColorModes [<*>, <*>], hdrCapabilities HdrCapabilities{mSupportedHdrTypes=[<*>, <*>], mMaxLuminance=<*>.<*>, mMaxAverageLuminance=<*>.<*>, mMinLuminance=<*>.<*>}, allmSupported false, gameContentTypeSupported false, density <*>, <*>.<*> x <*>.<*> dpi, appVsyncOff <*>, presDeadline <*>, cutout DisplayCutout{insets=Rect(<*>, <*> - <*>, <*>) waterfall=Insets{left=<*>, top=<*>, right=<*>, bottom=<*>} boundingRect={Bounds=[Rect(<*>, <*> - <*>, <*>), Rect(<*>, <*> - <*>, <*>), Rect(<*>, <*> - <*>, <*>), Rect(<*>, <*> - <*>, <*>)]} cutoutPathParserInfo={CutoutPathParserInfo{displayWidth=<*> displayHeight=<*> density={<*>.<*>} cutoutSpec={M -<*>,<*> L -<*>,<*> L <*>,<*> L <*>,<*> Z} rotation={<*>} scale={<*>.<*>}}}}, touch INTERNAL, rotation <*>, type INTERNAL, address {port=<*>, model=<*>}, deviceProductInfo DeviceProductInfo{name=, manufacturerPnpId=QCM, productId=<*>, modelYear=null, manufactureDate=ManufactureDate{week=<*>, year=<*>}, connectionToSinkType=<*>}, state OFF, frameRateOverride , brightnessMinimum <*>.<*>, brightnessMaximum <*>.<*>, brightnessDefault <*>.<*>, roundedCorners RoundedCorners{[RoundedCorner{position=TopLeft, radius=<*>, center=Point(<*>, <*>)}, RoundedCorner{position=TopRight, radius=<*>, center=Point(<*>, <*>)}, RoundedCorner{position=BottomRight, radius=<*>, center=Point(<*>, <*>)}, RoundedCorner{position=BottomLeft, radius=<*>, center=Point(<*>, <*>)}]}, FLAG_DEFAULT_DISPLAY, FLAG_ROTATES_WITH_CONTENT, FLAG_SECURE, FLAG_SUPPORTS_PROTECTED_BUFFERS}",3
d966ae91,binding: Intent { act=<*> cmp=<*>/.notification.DisplayNotifListenerService (has extras) },3
