LineId,Date,Time,Pid,Id,Content,EventId,EventTemplate,ParameterList
1,01-07,20:10:04.136,1000,ACQ,NetworkStats (partial),01add6cf,<*> (partial),['NetworkStats']
2,01-07,20:10:04.169,1000,REL,NetworkStats,bd108789,NetworkStats,[]
3,01-07,20:10:06.793,1041,REL,AudioMix,5f42c2b8,AudioMix,[]
4,01-07,20:10:06.804,1041,REL,AudioMix,5f42c2b8,AudioMix,[]
5,01-07,20:10:06.808,1041,REL,AudioMix,5f42c2b8,AudioMix,[]
6,01-07,20:10:14.864,1000,ACQ,NetworkStats (partial),01add6cf,<*> (partial),['NetworkStats']
7,01-07,20:10:14.902,1000,REL,NetworkStats,bd108789,NetworkStats,[]
8,01-07,20:10:34.412,1000,ACQ,NetworkStats (partial),01add6cf,<*> (partial),['NetworkStats']
9,01-07,20:10:34.456,1000,REL,NetworkStats,bd108789,NetworkStats,[]
10,01-07,20:11:00.005,1000,ACQ,*alarm* (partial),01add6cf,<*> (partial),['*alarm*']
11,01-07,20:11:00.007,1000,REL,*alarm*,14e9711f,*alarm*,[]
12,01-07,20:11:04.658,1041,ACQ,AudioMix (partial),01add6cf,<*> (partial),['AudioMix']
13,01-07,20:11:04.658,1041,ACQ,AudioMix (partial),01add6cf,<*> (partial),['AudioMix']
14,01-07,20:11:04.659,1041,ACQ,AudioMix (partial),01add6cf,<*> (partial),['AudioMix']
15,01-07,20:11:05.933,1000,ACQ,NetworkStats (partial),01add6cf,<*> (partial),['NetworkStats']
16,01-07,20:11:05.975,1000,REL,NetworkStats,bd108789,NetworkStats,[]
17,01-07,20:11:07.657,1041,REL,AudioMix,5f42c2b8,AudioMix,[]
18,01-07,20:11:07.661,1041,REL,AudioMix,5f42c2b8,AudioMix,[]
19,01-07,20:11:07.663,1041,REL,AudioMix,5f42c2b8,AudioMix,[]
20,01-07,20:11:10.297,1000,ACQ,NetworkStats (partial),01add6cf,<*> (partial),['NetworkStats']
21,01-07,20:11:10.355,1000,REL,NetworkStats,bd108789,NetworkStats,[]
22,01-07,20:11:20.042,1000,ACQ,NetworkStats (partial),01add6cf,<*> (partial),['NetworkStats']
23,01-07,20:11:20.070,1000,REL,NetworkStats,bd108789,NetworkStats,[]
24,01-07,20:11:20.216,1041,ACQ,AudioMix (partial),01add6cf,<*> (partial),['AudioMix']
25,01-07,20:11:20.217,1041,ACQ,AudioMix (partial),01add6cf,<*> (partial),['AudioMix']
26,01-07,20:11:20.218,1041,ACQ,AudioMix (partial),01add6cf,<*> (partial),['AudioMix']
27,01-07,20:11:23.218,1041,REL,AudioMix,5f42c2b8,AudioMix,[]
28,01-07,20:11:23.223,1041,REL,AudioMix,5f42c2b8,AudioMix,[]
29,01-07,20:11:23.224,1041,REL,AudioMix,5f42c2b8,AudioMix,[]
30,01-07,20:11:24.551,1041,ACQ,AudioMix (partial),01add6cf,<*> (partial),['AudioMix']
31,01-07,20:11:24.552,1041,ACQ,AudioMix (partial),01add6cf,<*> (partial),['AudioMix']
32,01-07,20:11:24.552,1041,ACQ,AudioMix (partial),01add6cf,<*> (partial),['AudioMix']
33,01-07,20:11:25.893,1000,ACQ,NetworkStats (partial),01add6cf,<*> (partial),['NetworkStats']
34,01-07,20:11:25.919,1000,REL,NetworkStats,bd108789,NetworkStats,[]
35,01-07,20:11:27.554,1041,REL,AudioMix,5f42c2b8,AudioMix,[]
36,01-07,20:11:27.555,1041,REL,AudioMix,5f42c2b8,AudioMix,[]
37,01-07,20:11:27.556,1041,REL,AudioMix,5f42c2b8,AudioMix,[]
38,01-07,20:11:28.484,1000,ACQ,NetworkStats (partial),01add6cf,<*> (partial),['NetworkStats']
39,01-07,20:11:28.557,1000,REL,NetworkStats,bd108789,NetworkStats,[]
40,01-07,20:11:37.481,1041,ACQ,AudioMix (partial),01add6cf,<*> (partial),['AudioMix']
41,01-07,20:11:37.482,1041,ACQ,AudioMix (partial),01add6cf,<*> (partial),['AudioMix']
42,01-07,20:11:37.483,1041,ACQ,AudioMix (partial),01add6cf,<*> (partial),['AudioMix']
43,01-07,20:11:38.417,1000,ACQ,NetworkStats (partial),01add6cf,<*> (partial),['NetworkStats']
44,01-07,20:11:38.435,1000,REL,NetworkStats,bd108789,NetworkStats,[]
45,01-07,20:11:40.485,1041,REL,AudioMix,5f42c2b8,AudioMix,[]
46,01-07,20:11:40.488,1041,REL,AudioMix,5f42c2b8,AudioMix,[]
47,01-07,20:11:40.492,1041,REL,AudioMix,5f42c2b8,AudioMix,[]
48,01-07,20:11:41.647,1041,ACQ,AudioMix (partial),01add6cf,<*> (partial),['AudioMix']
49,01-07,20:11:41.649,1041,ACQ,AudioMix (partial),01add6cf,<*> (partial),['AudioMix']
50,01-07,20:11:41.650,1041,ACQ,AudioMix (partial),01add6cf,<*> (partial),['AudioMix']
51,01-07,20:11:44.649,1041,REL,AudioMix,5f42c2b8,AudioMix,[]
52,01-07,20:11:44.650,1041,REL,AudioMix,5f42c2b8,AudioMix,[]
53,01-07,20:11:44.650,1041,REL,AudioMix,5f42c2b8,AudioMix,[]
54,01-07,20:11:44.898,1000,ACQ,NetworkStats (partial),01add6cf,<*> (partial),['NetworkStats']
55,01-07,20:11:44.917,1000,REL,NetworkStats,bd108789,NetworkStats,[]
56,01-07,20:11:45.620,10156,ACQ,GCM_READ (partial),01add6cf,<*> (partial),['GCM_READ']
57,01-07,20:11:45.626,10156,ACQ,GCM_WORK (partial),01add6cf,<*> (partial),['GCM_WORK']
