EventId,EventTemplate,Occurrences
01add6cf,<*> (partial),1997
4e4b905a,*telephony-radio*,275
3165aaef,IntentOp:.c.b.BackgroundBroadcastReceiverSupport$PersistentReceiverIntentOperation,23
94cdaeba,*job*/c.g.a.a/a.w.i.b.s.SystemJobService#0,13
c04c5eca,*job*/c.g.a.a/a.w.i.b.s.SystemJobService#10,13
7a75b8b6,*job*/c.g.a.a/a.w.i.b.s.SystemJobService#13,9
03b55498,NlpWakeLock,50
0aca88b2,RILJ_ACK_WL,5
6215e638,UlrDispSvcFastWL,16
60a68bba,com.google.android.deskclock:AlarmAsyncTask,3
c9f3220c,GCM_CONN_ALARM,18
ed13ba22,*job*/c.g.a.a.w.o/.ProvisioningDataService#6,4
3f0d8db2,CMWakeLock,10
bd108789,NetworkStats,8
14e9711f,*alarm*,66
42710fe9,*gms_scheduler*:internal,64
8862b859,bugle_datamodel_executor_wakelock,10
69535586,Icing,23
237d19a3,Wakeful StateMachine: GeofencerStateMachine (partial),8
f4f09ce2,Wakeful StateMachine: GeofencerStateMachine,8
8cce89f2,Scrims,5
04cd0834,Doze,9
def98c37,*job*/c.g.a.a.p/.d.i.DatabaseProcessorJobService#1033,28
418d3d04,IntentOp:.u.e.InstallationIntentOperation,4
7c9c1b33,nearby:ENWearableDeviceManager,11
801bbfad,Doze:KeyguardIndication,61
8a221edc,*job*/c.g.a.a.p/c.g.a.l.s.a.BackgroundTaskJobService#1043,4
e76d8afb,*job*/c.g.a.a.w/a.w.i.b.s.SystemJobService#9,2
68f8fa72,*job*/c.g.a.a.w/a.w.i.b.s.SystemJobService#10,2
1bb7b3b7,ChimeExecutorApi::com.google.android.calendar,1
043c93c6,*job*/c.g.a.d/c.a.d.i.IndexingJobService#4369,2
3351d92c,*job*/c.g.a.d/a.w.i.b.s.SystemJobService#15,4
03e2cadb,*job*/c.g.a.f/.s.AllowedAppListCleaningJobService#5000,2
0b130b1f,*job*/c.g.a.g/.j.GoogleMailWidgetAndShortcutSwitchJob$GoogleMailWidgetAndShortcutSwitchJobService#2000018,4
f9251a03,*job*/c.g.a.g/c.a.e.j.BootCompletedJob$BootCompletedJobService#2000021,4
06cb48f8,*job*/c.g.a.g/a.w.i.b.s.SystemJobService#555000004,4
88782651,ChimeBroadcastReceiver,4
c22a607c,<*> - <*> (partial),4
a49205fe,wake:com.google.android.gms/.auth.account.be.accountstate.LoginAccountsChangedIntentService - 999,2
774c711e,*job*/c.g.a.g/c.g.a.a.g.t.BackgroundTasksJobService#-369,4
86a97b6b,*job*/c.g.a.g/c.g.a.a.g.t.BackgroundTasksJobService#-237,4
e639867c,wake:CollectionChimeraSvc,6
34d55f0a,*job*/c.g.a.g/a.w.i.b.s.SystemJobService#14,4
c04c7473,*job*/c.g.a.h/.HardwareInfoService#0,4
36bd3d09,*job*/c.g.a.a.m/.s.d.a.e.ActionJobService#124,4
bec7b8c4,*job*/c.g.a.p/.PhenotypeJobService#1,4
1483ed2f,fiid-sync,3
0e728105,cpm_tasks,2
05e7e92d,*job*/c.g.a.v/a.w.i.b.s.SystemJobService#9,4
0a7db99d,*job*/c.g.e/.s.StartOtaService#3,8
fb9ad3fa,*job*/c.g.o.t/.SendNIService#1984,4
c26a2ca1,IntentOp:.a.f.FrpUpdateIntentOperation,2
6598bd66,*job*/c.g.p.l/.u.RestoreStateJobIntentService#1000,4
15cf31bf,*job*/c.g.a.p/.PhenotypeJobService#2,4
d3d33e61,Checkin Service (partial),2
4f26cc36,messaging_service_start_wakelock,2
0d340e06,messaging_service_work_wakelock,2
f84a835a,IntentOp:.r.n.RefreshNotificationsIntentOperation,2
160bd734,IntentOp:.r.n.ScheduleTimeRemindersIntentOperation,2
f1f0e3a8,IntentOp:.c.c.InitConfigOperation,2
1e748051,*gms_scheduler*/c.g.a.g/.p.g.PayGcmTaskService,10
e28e5ea7,Checkin Service,2
dd270f51,wake:com.google.android.gms/.chimera.GmsIntentOperationService - 913,2
9cce978f,*job*/c.g.a.c/c.g.a.a.c.s.ShortcutJobService#7,8
93c4ca52,SysUI:BroadcastSender,230
bcf29884,*job*/c.g.a.a.t/.n.SoftwareDropService#20001,4
543951ff,*job*/c.a.v/c.g.a.f.s.p.m.PhoneskyJobServiceMain#9131,4
237305a7,*job*/c.a.v/c.g.a.f.s.p.m.PhoneskyJobServiceMain#9136,4
b371a5c5,*job*/c.g.a.g/c.g.a.a.g.t.BackgroundTasksJobService#-49,4
32493fdf,*job*/c.g.a.a.t/c.g.a.l.s.a.l.InferAppBucketsJob#106,8
87708950,*gms_scheduler*/c.g.a.g/.t.g.TapAndPayGcmTaskService,2
dafe1869,*job*/c.g.a.p.g/c.g.a.a.a.c.a.f.LauncherIconStateVerificationService#234835806,4
5e2bead9,*job*/c.a.v/c.g.a.f.s.p.m.PhoneskyJobServiceMain#9140,4
178126d3,*job*/c.g.a.c/.PhenotypeCommitterService#10,4
a29b5f18,*job*/a/c.a.s.a.c.ContactsIndexerMaintenanceService#16942831,4
51fc74ad,*job*/a/c.a.s.s.DiskStatsLoggingService#1145656139,4
84f069ac,*job*/a/c.a.s.p.DynamicCodeLoggingService#203142925,4
0b970c76,*job*/a/c.a.s.PruneInstantAppsJobService#765123,4
e185d1bc,*job*/a/c.a.s.p.DynamicCodeLoggingService#2030028,4
62098922,*job*/a/c.a.s.d.BrightnessIdleJob#3923512,4
993cffd3,*job*/a/c.a.s.n.w.ReportWatchlistJobService#882313,4
55a52660,*job*/a/c.a.s.n.NotificationHistoryJobService#237039804,14
30c4aa02,*job*/c.g.a.n/c.a.n.i.RegularMaintenanceJobService#3345678,4
14c7d5ca,*job*/c.g.a.a/a.w.i.b.s.SystemJobService#5,4
95bd5f2a,*job*/c.g.a.a/a.w.i.b.s.SystemJobService#6,4
5bef44a9,*job*/c.g.a.p.m.m/c.a.p.m.IdleService#-200,4
5be928c6,*job*/c.g.a.p.m.m/c.a.p.m.s.j.StableUriIdleMaintenanceService#-500,4
bea37afb,*job*/c.g.a.a/c.g.a.a.m.a.e.s.EchoJobService#315933870,4
e0980d85,*job*/c.g.a.a/c.g.a.a.m.a.e.s.EchoJobService#405939170,4
98655853,*job*/c.g.a.a/c.g.a.a.m.a.s.p.c.PixelSearchCronJobService#360265855,4
bdd3ada5,*job*/a/c.a.s.BinaryTransparencyService$UpdateMeasurementsJobService#168242978,4
5f8b260f,*job*/a/c.a.s.p.BackgroundDexOptJobService#801,4
ca42e075,*job*/c.a.v/c.g.a.f.s.p.m.PhoneskyJobServiceMain#9087,4
0a4dc37f,*job*/a/c.a.s.b.BlobStoreIdleJobService#191934935,4
48b3527b,*job*/c.g.a.c/.CheckinService#9,4
67fa93b3,*job*/c.g.a.a.m/a.w.i.b.s.SystemJobService#1011,4
f0fa4c66,*job*/a/c.a.s.c.InactiveAssociationsRemovalService#92464686,4
6032a7af,*job*/c.g.a.i.l/c.g.a.l.i.t.JobSchedulerImpl$TaskRunnerJobService#1534697245,4
105a6dfc,*dexopt*,454
ce96b771,*job*/c.g.a.i.l/c.g.a.l.i.t.JobSchedulerImpl$TaskRunnerJobService#-1481937176,4
ae112da9,*job*/a/c.a.s.p.d.DataMaintenanceService#204561367,4
ec8ce5f4,*job*/a/c.a.s.p.BackgroundDexOptJobService#800,4
