EventId,EventTemplate,Occurrences
0bdb6b24,Vold <*>.<*> (the awakening) firing up,1
c8660ed6,Detected support for: ext4 f2fs vfat,1
2c484a27,VolumeBase::create()++,2
3eda2fab,VolumeBase::create()--,2
fd21175d,EpmLog::EpmLog,1
fed9e70a,<*> created,2
a3cfcb03,fstab record: <*> <*> ext4,4
a42518f8,fstab record: <*> <*> <*>,39
f85ac388,fstab record: <*>* auto <*>,2
e6fab302,VoldNativeService::start() completed OK,1
d0c68842,handleBlockEvent with action=<*> major=<*> minor=<*> eventPath=<*>:<*><*>,7
dfe55d78,NL param <*>,42
2768d357,"!@ device mmcblk0 (<*>,<*>) <*>",1
2f103158,<*> <*> <*> to <*>,2
65de1320,!@ Failed to write to <*> (No such file or directory),1
65aa3b6f,!@ cpu boost isn't need. (<*> node is not exist.),1
6edfeedf,"!@ <*>,<*> r <*> <*> w <*> <*> d <*> <*> f <*> <*> iot <*> <*> th <*> <*> <*> pt <*> inp <*> <*> <*>.<*>",978
520bdc73,fscrypt_mount_metadata_encrypted: <*> encrypt: <*> format: <*> with null,1
d9da6647,read_key,1
dede275d,<*> <*>,4072
4460d56f,read_key ++ dir : <*>,1
52caee6e,<*> : <*>,713
bbb53bb4,keystore2_main: !@ Keystore2 is starting.,1
639187c3,keystore2_main: !@ Setting up sqlite logging for keystore2,1
48065ce4,"keystore2::metrics_store: In update_keystore_crash_sysprop: Failed to read the existing system property due to: In read_keystore_crash_count: Property not set..Therefore, keystore crashes will not be logged.",1
3d585bb3,keystore2_main: !@ <*> thread pool now.,2
42abca25,keystore2::globals: Add emulation wrapper around Keymaster device for security level: SecurityLevel(<*>),1
1eabb1a7,keystore2::globals: !@ In set_keymint_version <*>,1
7909b13d,keystore2::shared_secret_negotiation: Shared secret negotiation concluded successfully.,1
5f354e8f,"keystore2::shared_secret_negotiation: No StrongBox Keymint available, so no RoT transfer",1
30edcbd0,keystore2_main: !@ Not publishing IRemotelyProvisionedKeyPool service: In new_native_binder: Failed to get TEE Remote Provisioner instance.,1
0e4c901c,Caused by:,4
78a94418,<*>: In <*>,3
99a227ed,<*>: <*>,6
9630ea8e,<*> <*> : <*> = <*>,9
20f93d94,samsung_attestation: Successfully started Samsung Keystore service.,1
83016e14,keystore2_main: !@ Successfully registered Keystore <*>.<*> service.,1
c44697d7,"keystore2::security_level: In create_operation. Success to create IKeystoreOperation. <*>, None",298
c6111243,getRotStr rot value : <*>,1
b0536e14,<*> <*> : <*>,413
be88052f,create_crypto_blk_dev,1
18b6081c,Mounting metadata-encrypted filesystem:<*>,1
f8cd13d1,Mounting metadata-encrypted filesystem : <*>,1
21b580ff,[libfs_mgr]Running <*>.f2fs -a -c <*> --debug-cache <*>,1
84ccc086,!@ DiskUsage: <*> <*>.<*> % used (<*> MB/ <*> MB),1
9aec7c66,"[libfs_mgr]__mount(source=<*>,target=<*>,type=f2fs)=<*>: Success",1
00c1ca98,"[libfs_mgr]__mount return <*>(source=dm<*>,target=<*>,type=f2fs,flags=<*>,options=discard,usrquota,grpquota,fsync_mode=nobarrier,reserve_root=<*>,resgid=<*>,inlinecrypt): Success",1
5e0de99d,[libfs_mgr]restorecon_sec_sysfsERROR readlink :<*>,1
834443b7,[libfs_mgr]bootc_offset_sec_sysfs setting bootc_offset to <*> secs for fsck,1
82ea344c,<*> --,2
ab4e7334,Mounted,1
6ac61219,fscrypt_mount_metadata_encrypted ---,1
1bd8dab1,<*> called,75
e924ae02,fbeEnable,1
3626c7a1,fscrypt_initialize_systemwide_keys....,1
d1b30fe3,"Key exists, using: <*>",1
4b857da7,"fscrypt_initialize_systemwide_keys, install_storage_key DATA_MNT_POINT",1
02f35c51,Installed fscrypt key with ref <*> to <*>,4
4b6a0887,<*> fscrypt-provisioning key for <*> to session keyring,4
265bd319,"key mode: aes<*>-xts:aes<*>-cts:v2, file name: <*>",1
7e472e5a,Wrote <*> <*> key reference to: <*>,2
6ff4fefb,Generating standard storage key,1
48629c1d,"PROP : <*> : , value K00R",2
80bdc70d,Initial API level of the device: <*>,1
1703b836,<*> true,108
3d88a0a0,IncFs_Features: v2,1
d23c2cb3,keystore2::maintenance: In early_boot_ended.,1
930eb947,keystore2::globals: Touching Keystore <*>.<*> database for this first time since boot.,1
3333047b,keystore2::globals: Calling cleanup leftovers.,1
ec5cd88d,keystore2::super_key: Starting boot level watcher.,1
54c2b099,keystore2::maintenance: Call to earlyBootEnded succeeded for security level TRUSTED_ENVIRONMENT.,1
de84eae6,keystore2::super_key: Read keystore.boot_level value <*>,2
95f67168,"keystore2::boot_level_keys: In level_accessible: (<*>, <*>), valid: true",6
503c62a8,keystore2::maintenance: Call to earlyBootEnded failed for security level STRONGBOX: In call_with_watchdog: getting keymint device.,1
e13d4746,keystore2::error: In call_with_watchdog: getting keymint device,1
0c6747e0,<*>: In connect_keymint: Trying to get Legacy wrapper.,1
99eb1596,keystore2 Keystore earlyBootEnded returned service specific error: -<*>,1
44893002,initUser0,1
1f22cbe6,fscrypt_init_user0,1
21d5e656,load_all_de_keys,1
888050c9,<*> <*> <*> for user <*>,3
2dcfc9d7,"fscrypt_prepare_user_storage for volume null, user <*>, serial <*>, flags <*>",2
2064d804,Verified that <*> has the encryption policy <*> v2 modes <*><*> flags <*>,10
38d0b448,prepare_subdirs,2
ff52c40c,<*>,1070
0ee63cce,prepare,6
33c1b2cf,Detected support for FS_IOC_ADD_ENCRYPTION_KEY,1
c1172afe,Trying to retrieve existing <*> key...,2
9d6666b3,Verified public key signature.,1
b458c540,Initialized Keystore key.,1
4f0f17b9,Found and verified existing public key certificate: <*>.cert,1
9cb970bc,ART APEX version <*>,1
1a67157c,Updated ART APEX mounted,1
7057a16a,Checking boot images <*> <*>,2
c4a5b015,Boot images on <*> OK <*>,2
3b50bd04,system_server artifacts on <*> OK,1
c2d68d58,<*> <*> is empty,3
4473cb77,Failed to read <*>.txt: <*>,1
7f039020,<*>.info.signature matches.,1
97c8c15b,Loaded <*>.info,1
8db811d5,"keystore2::super_key: keystore.boot_level <*> hits maximum <*>, finishing.",1
a6c62d24,All root hashes match.,1
46dd915f,odrefresh said artifacts are VALID,1
28c0b9e9,On-device signing done.,1
0a902b2f,Starting <*>,56
20260d6d,"Start at vold.decrypt: none, <*> : encrypted, <*> : file",1
4c816f71,SELinux: [audit_filter] parsing error. auditfilter fsck dm_device:blk_file ioctl <*>;,1
f5b08ba2,is skipped.,1
5a8f8a46,SELinux:  [audit_filter] audit_filter_table is created successfully. filter table line count = <*> / rule count(atomic) = <*>,1
3e192449,"Previous audit logfile detected, rotating",1
b132f340,"[boot_logo_updater main <*>]boot_logo_updater,",1
cad93baf,<*> to <*> <*>,3
79fc9e4c,"<*> <*> <*> = <*>, <*> = <*>",33
c9012d5f,no DSU: No such file or directory,1
2c1bac4b,<*> Hal is booting up...,2
44ec7bee,Registered <*>,7
b220492a,installd firing up,1
f0a50c67,wificond is starting up...,1
e359d957,!@ MemInfo(KB): total <*> free <*> avail <*> actv(f) <*> inactv(f) <*> dirty <*> wb <*> anonpg <*> slab <*>,19
cc5dc2fe,"Unable to get AIDL health service, trying HIDL...",1
5ae3924c,<*> took to complete: <*>,2043
8eb3186b,InitBeforeStartServices,1
c887b368,!@Boot_EBS_F: <*>,14
a9bf5696,Entered the Android system server!,1
93ea326b,!@Boot: Entered the Android system server!,1
f855e064,Creating instance with <*> threads,1
19f7259f,!@Boot_SystemServer: <*> : <*>,23
d2bef49a,!@Boot_EBS: Took <*> by <*>,26
829e7cae,StartServices,1
2240dcb4,startBootstrapServices,1
da9e405c,StartWatchdog,1
05b3ece4,Reading configuration...,1
9abde539,ReadingSystemConfig,1
bdc6107e,PlatformCompat,1
81d1a52b,InitThreadPoolExec:ReadingSystemConfig,1
b954dc53,Found a config file: <*>,13
b5002eb7,Reading <*> from <*>,663
a721f974,<*> <*>@<*>,210
428cea36,Binder proc file not exist.,89
88da09f9,!@Sync: <*> heap: <*> / <*> FD: <*> [<*><*><*> <*>:<*>:<*>.<*>],85
0289d79f,Adding association: <*> <- <*>,98
08a1c304,No directory <*> skipping,38
f795300e,getActiveApexInfos_noCache,1
961d647b,Ignore shared library <*> <*>.jar does not exist,6
eec4b40b,StartFileIntegrityService,1
40073c89,StartInstaller,1
6130a8f7,DeviceIdentifiersPolicyService,1
78f170f7,UriGrantsManagerService,1
07bcc76a,StartPowerStatsService,1
5638a21d,StartIStatsService,1
0b4a485c,MemtrackProxyService,1
4168fac5,StartActivityManager,1
ad2cfe8d,CoreStateController(),2
ef13042d,Memory class: <*>,1
45d81d28,"Setting heavy hitter watcher config: false, <*>, <*>.<*>",1
7d1a906f,Tag system-user-whitelisted-app is unknown in <*>.xml at START_TAG (empty) <system-user-whitelisted-app package='<*>'>@<*>:<*> in <*>@<*>,2
2757f20a,fname = <*>,652
c4e541af,<*> = <*>,1195
39e29d81,"<*> = false, <*> = <*>",3
52e6033a,SEServiceFeature running,2
0455e880,NFC SKU:,2
7c7cd28c,eSE_COS:,2
93b26b40,countryCode: BRAZIL,2
8e829e30,<*> false,448
e9016232,support eSE: false,2
f9dcfa13,removed eSE secure element feature: not support se,2
81b3f0c5,<*> UnifiedMemoryReclaimer is disabled by config,2
69aca51e,<*> start,24
afbf0032,<*> disabled,9
12815754,Static Initialization of <*>,2
d0417f5e,Connection with lmkd established,1
81619474,Updated health check state for package <*> INACTIVE -> PASSED,72
913c7b8b,mDBInitReTryCnt=<*>,4
41b5fb78,<*> is deprecated! Use <*> instead.,6
fbc8cad8,"getAverageBatteryDrainMaH called with unexpected key: <*>, <*>",16
049ebb9f,Reading daily items from <*>.xml,1
c71879ba,mPerClusterTimesAvailable=false,1
f28f4aad,update stats : <*> (<*>),981
b0922157,Update Rail Energy data,148
1ce241e7,Update <*> state,994
7b13c5d5,No kernel memory bandwidth stats available,1
b68afadf,Update Kernel wakelock & memory state,11
21ab4e04,mStats lock released,981
2b9726c0,done updateExternalStatsLocked,981
18793bd0,Read new rules (A:<*> B:<*> S:<*>),1
313c8398,SwappinessController() - default value: <*>,1
6214ff61,KillPolicyManager(),1
7a105965,recoverFreezerStateIfTHAWED error: file doesn't exist or can't write,1
b4b26d27,"parseAllowList: LocalVersion=<*>, ScpmVersion=<*>, XmlVersion=<*>",2
bcf9558a,ActivityManagerServiceExt :: created,1
0323aaeb,Current Launcher: <*>,1
5256ed8b,initKillPolicyManager(),1
cc793815,AppOpsService published,1
0e3850b9,StartDataLoaderManagerService,1
061f471f,StartIncrementalService,1
b270627b,StartPowerManager,1
35cf2e77,[PWL] sb <*> <*>,1541
30d46b25,Setting HAL interactive mode to <*>,14
671477e7,StartThermalManager,1
d6900b7e,StartHintManager,1
e3f25f99,InitPowerManagement,1
a74d9935,[api] <*> <*> (uid: <*> pid: <*>),17
954f0d9d,VaultKeeperService,1
cd0ccf48,onStart(),2
379ee508,PACMService,1
d5d95636,Success to start PACM Service(S-ver : <*>/ P-ver : <*>),1
ce5dc313,StartRecoverySystemService,1
6f88ae80,StartLightsService,1
3eb9d6c4,fileExist <*>: <*>,3
780b5ef4,"[SvcLED]   mUseSoftwareAutoBrightness: true,  mUseLEDAutoBrightness: false,  mDelayForcedSvcLEDTask: <*>,  mUsePatternLED: true",1
dbacd872,StartPdpService,1
1844687d,StartDisplayOffloadService,1
b984363d,StartSidekickService,1
3f544421,StartDisplayManager,1
ea34b6d1,<*> <*> took to complete: <*>,40
e14d8bc7,<*> <*> : false,118
cdb923b2,WaitForDisplay,1
7a0bc6e6,!@Boot_EBS_D: <*>,16
02e1d9ec,Starting phase <*>,8
12871928,OnBootPhase_100,1
2a2db448,<*>$Lifecycle,424
31174acf,<*>$LifeCycle,31
bde8aa96,[PHASE_WAIT_FOR_DEFAULT_DISPLAY],1
8448e282,<*> <*> ready,3
6468e505,Can't find display mode with id -<*>,1
c6dcd140,"DisplayModeSpecs base mode no longer available, using currently active mode.",1
570966ab,"Display device <*>: DisplayDeviceInfo{""Tela integrada"": uniqueId=""local:<*>"", <*> x <*>, modeId <*>, defaultModeId <*>, supportedModes [{id=<*>, width=<*>, height=<*>, fps=<*>.<*>, alternativeRefreshRates=[<*>.<*>]}, {id=<*>, width=<*>, height=<*>, fps=<*>.<*>, alternativeRefreshRates=[<*>.<*>]}], colorMode <*>, supportedColorModes [<*>], hdrCapabilities HdrCapabilities{mSupportedHdrTypes=[], mMaxLuminance=<*>.<*>, mMaxAverageLuminance=<*>.<*>, mMinLuminance=<*>.<*>}, allmSupported false, gameContentTypeSupported false, density <*>, <*>.<*> x <*>.<*> dpi, appVsyncOff <*>, presDeadline <*>, cutout DisplayCutout{insets=Rect(<*>, <*> - <*>, <*>) waterfall=Insets{left=<*>, top=<*>, right=<*>, bottom=<*>} boundingRect={Bounds=[Rect(<*>, <*> - <*>, <*>), Rect(<*>, <*> - <*>, <*>), Rect(<*>, <*> - <*>, <*>), Rect(<*>, <*> - <*>, <*>)]} cutoutPathParserInfo={CutoutPathParserInfo{displayWidth=<*> displayHeight=<*> physicalDisplayWidth=<*> physicalDisplayHeight=<*> density={<*>.<*>} cutoutSpec={M62.<*>,0l<*>.<*>,0l<*>.<*>,0l<*>.<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*> l<*>.<*>,<*>.7l<*>,<*>.8l<*>,<*>,1l<*>.<*>,1l<*>.<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>.<*> l<*>.<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*>,<*> <*>,<*> L<*>.<*>,<*>,<*>,<*>,<*>,<*>,0L<*>.<*>,<*> L<*>.<*>,0Z} rotation={<*>} scale={<*>.<*>} physicalPixelDisplaySizeRatio={<*>.<*>}}}}, touch INTERNAL, rotation <*>, type INTERNAL, address {port=<*>}, deviceProductInfo null, state UNKNOWN, frameRateOverride , brightnessMinimum <*>.<*>, brightnessMaximum <*>.<*>, brightnessDefault <*>.<*>, roundedCorners RoundedCorners{[RoundedCorner{position=TopLeft, radius=<*>, center=Point(<*>, <*>)}, RoundedCorner{position=TopRight, radius=<*>, center=Point(<*>, <*>)}, RoundedCorner{position=BottomRight, radius=<*>, center=Point(<*>, <*>)}, RoundedCorner{position=BottomLeft, radius=<*>, center=Point(<*>, <*>)}]}, FLAG_ALLOWED_TO_BE_DEFAULT_DISPLAY, FLAG_ROTATES_WITH_CONTENT, FLAG_SECURE, FLAG_SUPPORTS_PROTECTED_BUFFERS, installOrientation <*>}",1
7e4c754d,"createDisplayLocked, logicalDisplayId=<*>, isDefault=true, isExtra=false, address={port=<*>}, caller=<*>:<*> <*>:<*> <*>:<*>",1
5d5de576,"Applying layout: [{addr: {port=<*>}, dispId: <*>(ON)}], Previous layout: null",1
a28b55fe,"Adding new display: <*>: DisplayInfo{""Tela integrada"", displayId <*>"", displayGroupId -<*>, FLAG_SECURE, FLAG_SUPPORTS_PROTECTED_BUFFERS, FLAG_TRUSTED, real <*> x <*>, largest app <*> x <*>, smallest app <*> x <*>, appVsyncOff <*>, presDeadline <*>, mode <*>, defaultMode <*>, REFRESH_RATE_MODE_NORMAL, modes [{id=<*>, width=<*>, height=<*>, fps=<*>.<*>, alternativeRefreshRates=[<*>.<*>]}, {id=<*>, width=<*>, height=<*>, fps=<*>.<*>, alternativeRefreshRates=[<*>.<*>]}], hdrCapabilities HdrCapabilities{mSupportedHdrTypes=[], mMaxLuminance=<*>.<*>, mMaxAverageLuminance=<*>.<*>, mMinLuminance=<*>.<*>}, userDisabledHdrTypes [], minimalPostProcessingSupported false, rotation <*>, state UNKNOWN, type INTERNAL, uniqueId ""local:<*>"", app <*> x <*>, density <*> (<*>.<*> x <*>.<*>) dpi, layerStack <*>, colorMode <*>, supportedColorModes [<*>], address {port=<*>}, deviceProductInfo null, removeMode <*>, refreshRateOverride <*>.<*>, brightnessMinimum <*>.<*>, brightnessMaximum <*>.<*>, brightnessDefault <*>.<*>, installOrientation ROTATION_0}",1
f097b9f3,"Setting new display group <*> for display <*>, from previous group: null",1
8cf79ff9,"Delivering display group event: groupId=<*>, event=<*>",1
199fe4dd,StartDomainVerificationService,1
d94a10ab,StartPackageManagerService,1
82a676e9,!@Boot: <*> PackageManagerService,2
352a71eb,<*> HandlerChecker: main thread for reason: <*> Pause count: <*>,8
34ccafeb,<*> package manager,2
a14b148a,"mBackupItemList: [<*>==, <*>==, <*>==]",1
84fa1ed4,<*> -<*>,10
aeb4b9c4,Controller pm_settings_backup is registered,1
2f468dcc,Installd connected. Took <*> ms,1
fdb8d14b,open_log_file,1
aaf6dc05,createSubComponents,1
c54a4ce9,No need to create user persona list file from Knox <*>.<*>,1
33140d97,addSharedUsers,1
0f84c0cb,SysProp <*> not set,1
f5a572f2,get system config,1
37df0959,<*> <*> <*> took to complete: 0ms,3
34da6379,Using policy file <*>.xml,3
cb4e526b,loadFallbacks,1
6489f02a,Failed to use RolesPersistence class.,1
226f0cee,read user settings,1
b6466af8,Package <*> was user id <*> but is now user SharedUserSetting{<*> <*> with id <*>; I am not changing its files so it will probably fail!,146
40cdffc2,Package <*> was user id <*> but is now user SharedUserSetting{<*> <*><*>} with id <*>; I am not changing its files so it will probably fail!,3
189a47c6,Missing ActivityManager; assuming <*> holds <*>,1
0a956b1b,Missing permission state for package <*> on user <*>,68
2fda4938,Missing permission state for package android.auto_generated_rro_product__ on user <*>,1
a4173af7,Missing permission state for shared user: <*>,9
362ad506,read user settings took to complete: 376ms,1
ae0a1c0a,"Directories scanned as system partitions: [<*>:<*>, <*>:<*>, <*>:<*>, <*>:<*>, <*>:<*>, <*>:<*>, <*>:<*>, <*>:<*>, <*>.android.wifi:<*>, <*>.android.neuralnetworks:<*>, <*>.<*>:<*>, <*>.<*>:<*>, <*>.<*>:<*>, <*>.<*>:<*>, <*>.android.adservices:<*>, <*>.<*>:<*>, <*>.<*>:<*>, <*>.<*>:<*>, <*>.android.conscrypt:<*>, <*>.android.uwb:<*>, <*>.android.i18n:<*>, <*>.android.permission:<*>, <*>.<*>:<*>, <*>.android.tethering:<*>, <*>.android.appsearch:<*>, <*>.android.mediaprovider:<*>, <*>.android.media:<*>, <*>.<*>:<*>, <*>.android.resolv:<*>, <*>.android.ipsec:<*>, <*>.android.extservices:<*>, <*>.<*>:<*>, <*>.<*>:<*>, <*>.<*>:<*>, <*>.android.runtime:<*>, <*>.android.art:<*>, <*>.android.<*>:<*>, <*>.android.btservices:<*>, <*>.android.scheduling:<*>, <*>.android.tzdata:<*>, <*>.android.sdkext:<*>, <*>.<*>:<*>, <*>.android.cellbroadcast:<*>, <*>.android.ondevicepersonalization:<*>]",1
556a5207,Keeping known cache <*>,1
06955a5c,Compat change id reported: <*>; UID <*> state: <*>,3983
6e098ef2,Failed to parse <*>: Missing base APK in <*>,3
39ac4c0d,Failed to scan <*>: Package <*> at <*> ignored: updated version <*> better than this <*>,33
2e4cb8ef,getService package_native failed,1
80031d28,storaged: Start,1
d7d08e5c,Failed to scan <*> Package <*> at <*> ignored: updated version <*> better than this <*>,4
6c40939a,Registering <*> as apk-in-apex of <*>,19
06cbd63d,"!@Boot_EBS_F: Finished scanning system apps (<*> ms), packageCount: <*>, cached: <*>",1
5e7c9d8d,"Finished scanning <*> apps. Time: <*> ms, packageCount: <*> , timePerPackage: <*> , cached: <*>",2
3e17d3cb,Relax SCAN_REQUIRE_KNOWN requirement for package <*>,37
2d6cf6ad,Skipping provider name <*> (in package com.ubercab): name already used by com.ubercab,1
1aa74871,Unknown element under <*> <*> at <*> Binary XML file line #<*>,83
ecfd89a0,Skipping provider name <*> (in package <*>): name already used by <*>,3
