EventId,EventTemplate,Occurrences
3d4b6ff6,"Fatal signal <*> (SIGABRT), code -<*> (SI_QUEUE) in tid <*> (init), pid <*> (init)",1
0f92fa14,"crash_dump helper failed to exec, or was killed",1
4ebee0d4,"Appop Denial: receiving Intent { act=<*> flg=<*> (has extras) } to ProcessRecord{<*> <*>:<*><*>} (pid=<*>, uid=<*>) excludes appop <*> due to sender android (uid <*>)",248
ef46616a,Calling a method in the system process without a qualified user: <*>:<*> <*> <*> <*> <*>,253
ab5394fd,is forced immersive fullscreen for Window{<*> u0 <*><*>.<*>},598
58865af1,"Permission Denial: receiving Intent { act=<*> flg=<*> (has extras) } to ProcessRecord{<*> <*>:<*><*>} (pid=<*>, uid=<*>) requires <*> due to sender android (uid <*>)",123
d8974074,Changing focus of displayId=<*> to Window{<*> u0 <*> from Window{<*> u0 <*>,55
93faa86e,SURFACE hide Surface(name=<*><*>.<*>)/@<*> on display:<*>,36
1dfe1fc1,IMotTouch <*>.<*> service is not available,14
90cbb973,IMotTouch service is not available,14
dbb4ead9,"Killing <*>:<*><*> (adj <*>, setSvc -<*>): <*> <*>",45
cf6c49ef,appDiedLocked: app=ProcessRecord{<*> <*>:<*><*>} thread=<*>@<*> fromBinderDied=true <*> reason=null,49
07abcddd,SURFACE SHOW Surface(name=<*><*>.<*>)/@<*> on display:<*>,35
f1af1f20,SURFACE create Surface(name=)/@<*> on display:<*>,25
3a3060b4,SURFACE SHOW Surface(name=)/@<*> on display:<*>,27
0a685f0b,Received frameCompleteCallback timeout 5003ms for null,1
ec4d1b2b,Received frameDrawingCallback timeout <*> for null,2
3b049651,Attempted to add notif for locked<*> user <*>,22
59710913,Compat change id reported: <*>; UID <*>; state: <*>,389
868d2227,Start proc <*>:<*><*> for <*> <*>,32
fe2bc343,Changing focus of displayId=<*> to Window{<*> u0 <*> from Window{<*> u0 <*> EXITING},3
23a16106,setHasOverlayUi called on unknown pid: <*>,6
b9653312,SURFACE hide Surface(name=<*>:<*><*>.<*>)/@<*> on display:<*>,1
e26468cf,noteOperation,189
67eadb8b,<*>: Specified package <*> under uid <*> but it is not,189
e5e73919,at <*>(AppOpsService.java:<*>),756
76e75bea,at <*>$<*>(AppOpsService.java:<*>),189
b3e58110,at <*>$CheckOpsDelegateDispatcher.lambda$noteOperation$<*>(AppOpsService.java:<*>),189
c7a26a49,at <*>$CheckOpsDelegateDispatcher$$ExternalSyntheticLambda2.apply(Unknown Source:<*>),189
278fd607,at <*>(AppOpsPolicy.java:<*>),189
1dce4446,at <*>$CheckOpsDelegateDispatcher.noteOperation(AppOpsService.java:<*>),189
cbe98e33,at <*>$Stub.onTransact(IAppOpsService.java:<*>),189
30742744,at <*>(Binder.java:<*>),473
06c9fc88,SURFACE destroy Surface(name=)/@<*> on display:<*>,25
1d09ef0b,"Permission Denial: broadcasting Intent { act=<*> flg=<*> (has extras) } from null (pid=-<*>, uid=-<*>) requires <*> due to registered receiver BroadcastFilter{<*> <*><*> ReceiverList{<*> <*> <*><*> remote:<*>}}",4
457d23b6,Enqueueing job: (job:<*><*>.<*><*>.<*>) work: JobWorkItem{id=<*> intent=Intent { act=<*> flg=<*> cmp=<*><*>.<*> }},2
7f11dc22,"Failed to measure fs-verity, errno <*>: <*>",2
93420e9a,Start proc <*>:<*><*> for content provider {<*><*>.<*>},13
dfac4d44,"canAuthenticate: User=<*>, Caller=<*>, Authenticators=<*>",18
d270553e,Package: <*> Sensor ID: <*> Modality: <*> Status: <*>,36
87d835bf,getCanAuthenticateInternal Modality: <*> AuthenticatorStatus: <*>,18
a90080bd,"canAuthenticate, userId: <*>, callingUserId: <*>, authenticators: <*>, result: <*>",18
1cf6ee7a,Enqueueing job: (job:<*><*>.<*>/.job.ResendNotificationsJob$ResendNotificationsJobService) work: JobWorkItem{id=<*> intent=Intent { act=<*> pkg=<*> }},1
43d668a2,Transport <*>/.backup.BackupTransportService updated its attributes,1
aba9c673,Unable to start service Intent { cmp=<*><*> } U=<*>: not found,2
f76333dc,Permission Denial: receiving Intent { act=<*> flg=<*> (has extras) } to <*><*>.<*> requires <*> due to sender android (uid <*>),186
06c9b83e,"Slow operation: <*> so far, now at startProcess: <*> <*> <*>",12
230bac04,"Slow operation: <*> so far, now at startProcess: done updating <*> <*>",15
