EventId,EventTemplate,Occurrences
d5968584,*telephony-radio* (partial),274
4e4b905a,*telephony-radio*,275
3165aaef,IntentOp:.c.b.BackgroundBroadcastReceiverSupport$PersistentReceiverIntentOperation,23
94cdaeba,*job*/c.g.a.a/a.w.i.b.s.SystemJobService#0,13
c04c5eca,*job*/c.g.a.a/a.w.i.b.s.SystemJobService#10,13
7a75b8b6,*job*/c.g.a.a/a.w.i.b.s.SystemJobService#13,9
7f37ac5e,RILJ_ACK_WL (partial),5
03b55498,NlpWakeLock,50
0aca88b2,RILJ_ACK_WL,5
82f4eed5,IntentOp:.c.b.BackgroundBroadcastReceiverSupport$PersistentReceiverIntentOperation (partial),21
cede8fd7,UlrDispSvcFastWL (partial),16
6215e638,UlrDispSvcFastWL,16
5748726e,*job*/c.g.a.a/a.w.i.b.s.SystemJobService#0 (partial),12
5fc0db02,*job*/c.g.a.a/a.w.i.b.s.SystemJobService#10 (partial),12
f2f333f2,*job*/c.g.a.a/a.w.i.b.s.SystemJobService#13 (partial),8
6e60f2ed,com.google.android.deskclock:AlarmAsyncTask (partial),3
bd8ac4d0,NlpWakeLock (partial),49
60a68bba,com.google.android.deskclock:AlarmAsyncTask,3
7aaf3312,GCM_CONN_ALARM (partial),18
c9f3220c,GCM_CONN_ALARM,18
1e7542d8,*job*/c.g.a.a.w.o/.ProvisioningDataService#6 (partial),4
ed13ba22,*job*/c.g.a.a.w.o/.ProvisioningDataService#6,4
70bd1a09,CMWakeLock (partial),10
3f0d8db2,CMWakeLock,10
366802df,NetworkStats (partial),8
bd108789,NetworkStats,8
14e9711f,*alarm*,66
ed1da152,*gms_scheduler*:internal (partial),64
42710fe9,*gms_scheduler*:internal,64
f1b819b5,bugle_datamodel_executor_wakelock (partial),9
8862b859,bugle_datamodel_executor_wakelock,10
b6580e92,Icing (partial),23
69535586,Icing,23
fc8c8dd6,*alarm* (partial),65
db381234,Doze (partial),9
d1f7f52f,Scrims (partial),5
5d8c11f4,Doze:KeyguardIndication (partial),61
237d19a3,Wakeful StateMachine: GeofencerStateMachine (partial),8
f4f09ce2,Wakeful StateMachine: GeofencerStateMachine,8
8cce89f2,Scrims,5
04cd0834,Doze,9
4813f184,*job*/c.g.a.a.p/.d.i.DatabaseProcessorJobService#1033 (partial),28
def98c37,*job*/c.g.a.a.p/.d.i.DatabaseProcessorJobService#1033,28
861d1305,IntentOp:.u.e.InstallationIntentOperation (partial),4
418d3d04,IntentOp:.u.e.InstallationIntentOperation,4
e4061a58,nearby:ENWearableDeviceManager (partial),11
7c9c1b33,nearby:ENWearableDeviceManager,11
801bbfad,Doze:KeyguardIndication,61
5e55f34b,*job*/c.g.a.a.p/c.g.a.l.s.a.BackgroundTaskJobService#1043 (partial),4
