EventId,EventTemplate,Occurrences
a86622f5,PhoneWindowManager.mPowerKeyWakeLock (partial),11
f083762a,PhoneWindowManager.mPowerKeyWakeLock,11
432fe450,BSS_InDisplaySensorHelper:P (partial),7
263fe209,BSS_InDisplaySensorHelper:D (draw),7
5e5a5b3d,BSS_InDisplaySensorHelper:P,7
dd5deca9,BSS_InDisplaySensorHelper:D,7
5a5e2378,ActivityManager-Sleep (partial),8
3775e992,*job*/c.s.a.k.a.u/.j.Job (partial),18
0c7ee214,*job*/c.s.a.k.a.u/.j.Job,18
9cef9b02,*telephony-sem-radio* (partial),276
7082e793,*telephony-sem-radio*,276
d5968584,*telephony-radio* (partial),249
4e4b905a,*telephony-radio*,249
06913c73,startDream (partial),8
db381234,Doze (partial),18
d1f7f52f,Scrims (partial),8
929e4cf5,DreamManagerService (doze),8
8a211458,ActivityManager-Sleep,8
4ca381e5,show keyguard (partial),9
33039c9b,AOD_EnsureWorkingTime (partial),8
bc76bc23,startDream,8
e31de89e,motion_service (partial),21
c3bcc738,motion_service,21
ca94f536,show keyguard,9
8cce89f2,Scrims,9
04cd0834,Doze,19
425a2209,WifiSuspend (partial),11
bd8ac4d0,NlpWakeLock (partial),32
03b55498,NlpWakeLock,32
237d19a3,Wakeful StateMachine: GeofencerStateMachine (partial),23
f4f09ce2,Wakeful StateMachine: GeofencerStateMachine,23
2948d09b,AOD_EnsureWorkingTime,9
80d9cabe,WifiSuspend,11
2605eceb,LockoutResetMonitor:SendLockoutReset (partial),18
47d957c8,faceLockoutResetCallback (partial),9
1319213f,lockoutResetCallback (partial),9
25536d10,LockoutResetMonitor:SendLockoutReset,18
c93bf05d,lockoutResetCallback,9
320c6998,faceLockoutResetCallback,9
fc8c8dd6,*alarm* (partial),125
62b00505,*job*/c.i.a/c.i.u.o.StoryBackgroundPrefetchJobService (partial),58
4821022a,*job*/c.i.a/c.i.u.o.StoryBackgroundPrefetchJobService,58
82f4eed5,IntentOp:.c.b.BackgroundBroadcastReceiverSupport$PersistentReceiverIntentOperation (partial),19
cede8fd7,UlrDispSvcFastWL (partial),3
6215e638,UlrDispSvcFastWL,3
3165aaef,IntentOp:.c.b.BackgroundBroadcastReceiverSupport$PersistentReceiverIntentOperation,19
932849aa,SyncLoopWakeLock (partial),16
f3598e67,SyncLoopWakeLock,16
14e9711f,*alarm*,125
7f37ac5e,RILJ_ACK_WL (partial),37
f14e19a1,DreamManagerService,9
ec4ec989,*job*/c.b.c.i/c.g.a.d.r.s.j.JobInfoSchedulerService (partial),10
00c36c21,*job*/c.b.c.i/c.g.a.d.r.s.j.JobInfoSchedulerService,9
06459547,RILS (partial),11
9f1541f0,RILS,11
0aca88b2,RILJ_ACK_WL,37
1160256d,GCM_WORK (partial),57
b44ae528,GCM_WORK,57
14f82d12,*job*/c.h.f/o.c.c.b.i.BackgroundTaskJobService (partial),2
67376bf1,*job*/c.h.f/o.c.c.b.i.BackgroundTaskJobService,2
313d1e1e,*job*/o.t.m/.KeepAliveJob (partial),24
0379437e,*job*/o.t.m/.KeepAliveJob,24
cde3fec8,GCM_READ (partial),29
3e9981ae,GCM_READ,29
c915d9d8,GOOGLE_C2DM (partial),29
5f552dae,wake:com.google.firebase.iid.WakeLockHolder (partial),24
4f0a434a,wake:com.google.firebase.iid.WakeLockHolder,24
4fd4578c,GOOGLE_C2DM,29
73f00906,prevent full-screen wakelock in EnqueueNotificationRunnable (partial),152
64633af2,prevent full-screen wakelock in EnqueueNotificationRunnable,152
a627dab9,*job*/b.c.v/a.w.i.b.s.SystemJobService (partial),12
ad275267,*job*/b.c.v/a.w.i.b.s.SystemJobService,12
8203f486,SharedExecutor Lock (partial),19
29788b6f,SharedExecutor Lock,19
3864e0c3,*job*/c.s.a.a.s/a.w.i.b.s.SystemJobService (partial),6
b07d7ad6,*job*/c.s.a.a.s/a.w.i.b.s.SystemJobService,6
23a3c794,*job*/c.s.a.g.g/a.w.i.b.s.SystemJobService (partial),2
8bb66146,*job*/c.s.a.g.g/a.w.i.b.s.SystemJobService,2
f43ef5fa,*job*/c.w/.AlarmService (partial),2
948d1a23,*job*/c.w/.AlarmService,2
5e354776,*job*/c.w/a.w.i.b.s.SystemJobService (partial),20
5f7c5ff9,*job*/c.w/a.w.i.b.s.SystemJobService,19
8890f394,*job*/c.w/.p.RegistrationIntentService (partial),16
6ed1b8e4,*job*/c.w/.p.RegistrationIntentService,16
0e347a41,GnpBroadcastReceiver (partial),2
4c0ceb4c,GnpBroadcastReceiver,2
144920a9,"@Inflate:0|com.google.android.googlequicksearchbox|0|-216470462::a:snotification:[0x394,wx.f,NOTIFICATION]|10238 (partial)",2
