EventId,EventTemplate,Occurrences
E0,"('boot', 'args', '0x***', '0x***', '<*>', '<*>')",3
E1,"('Permission', 'ownership', 'changed.', 'Updating', 'all', 'permissions.')",3
E2,"('Using', 'Asset', 'Emergency', 'database.', 'Version:', '<*>')",3
E3,"('gicc', '0x***,', 'gicd', '0x***,', 'gicr', '0x***')",3
E4,"('Vold', '<*>', '(the', 'awakening)', 'firing', 'up')",1
E5,"('keystore2::shared_secret_negotiation:', '<*>', 'secret', 'negotiation', 'concluded', 'successfully.')",1
E6,"('<*>', '<*>', 'scheduled', '@', '<*>', '<*>')",1
E7,"('Usb', '<*>', 'setcurrent', 'functions', 'called', 'successfully')",1
E8,"('<*>', '<*>', 'all', 'usage', 'table', 'files')",1
E9,"('<*>', '<*>', 'for', 'language', 'tag', 'en-US')",1
E10,"('evaluating', '<*>', 'to', 'EVENT_RADIO_ON', '<*>', '<*>')",1
E11,"('scanning', '<*>', 'table', 'for', 'undelivered', 'messages')",1
E12,"('#', '<*>', 'Binder', 'call', 'with', 'stack:')",1
E13,"('querying', '<*>', 'share', 'targets', 'from', 'ShortcutManager')",1
E14,"('<*>', '<*>', 'task:', 'TrainingCacheMaintenance', '<*>', 'Success.')",1
E15,"('<*>', '<*>', 'for:', 'ext4', 'f2fs', 'vfat')",1
E16,"('<*>', '<*>', 'rules', '<*>', '<*>', '<*>')",1
E17,"('<*>', '<*>', 'skipping', '<*>', 'artifacts', 'check.')",1
E18,"('<*>', '<*>', ""doesn't"", 'exists,', 'skip', 'reading')",1
E19,"('<*>', '<*>', 'focus', 'entering', 'UNFOCUSED', 'state')",1
E20,"('<*>', '<*>', 'health', 'check', 'requests,', 'unbinding...')",1
E21,"('<*>', '<*>', 'color', 'reduction', 'level:', '<*>')",1
E22,"('<*>', '<*>', 'time', 'delta', 'for', '<*>')",1
E23,"('<*>', '<*>', 'this', 'device', 'via', 'USB')",1
E24,"('<*>', '<*>', 'operate', 'in', 'async', 'mode')",1
E25,"('<*>', '<*>', 'key:', '<*>', 'Larissa', 'Pessoa@DESKTOP-D8FU5LC')",1
E26,"('<*>', '<*>', '<*>', '<*>', 'lsm=selinux', '<*>')",1
E27,"('<*>', '<*>', 'no', 'card.', 'Notifying', 'IccChangedRegistrants')",1
E28,"('<*>', '<*>', 'iso', 'in', 'sharedPrefs', 'br')",1
E29,"('<*>', '<*>', 'task', '<*>', 'PERIODIC', ""(2_PERIODIC)'..."")",1
E30,"('<*>', '<*>', 'tap', 'event.', ',', '')",1
E31,"('keystore2_main:', '<*>', 'registered', '<*>', '<*>', '<*>')",1
E32,"('onReceive:', '<*>', 'isPowerSaveMode:', '<*>', '<*>', '<*>')",5
E33,"('Duration', '<*>', ""'Wait"", '<*>', '<*>', '<*>')",5
E34,"('Completed', '<*>', 'true', '<*>', '<*>', '<*>')",2
E35,"('[setDefaultVoiceSubId]', '<*>', 'subId', '<*>', '<*>', '<*>')",5
E36,"('Screen', '<*>', 'locked', '<*>', '<*>', '<*>')",2
E37,"('Screen', '<*>', 'unlocked', '<*>', '<*>', '<*>')",1
E38,"('system_state_server:', '<*>', '<*>', '<*>', '<*>', '<*>')",3
E39,"('Not', 'pruning', 'observers,', 'elapsed', 'time:', '<*>')",3
E40,"('<*>', '<*>', '<*>', '<*>', 'reference', '<*>')",2
E41,"('<*>', '<*>', '<*>', '<*>', 'starting', 'empty')",2
E42,"('<*>', '<*>', '<*>', '<*>', 'package:', '<*>')",2
E43,"('<*>', '<*>', '<*>', '<*>', 'package:', 'android')",2
E44,"('<*>', '<*>', '<*>', '<*>', 'Dict', '{')",1
E45,"('<*>', '<*>', '<*>', '<*>', '<*>', '<*>')",247
E46,"('<*>', '<*>', '<*>', '<*>', 'usage', 'table')",1
E47,"('<*>', '<*>', '<*>', '<*>', 'path:', '<*>')",2
E48,"('<*>', '<*>', '<*>', '<*>', '<*>', '""bugle"".')",1
E49,"('<*>', '<*>', '<*>', '<*>', 'empty', 'msisdn')",2
E50,"('<*>', '<*>', '<*>', '<*>', '<*>', 'bound.')",2
E51,"('<*>', '<*>', '<*>', '<*>', '=', 'false')",2
E52,"('<*>', '<*>', '<*>', '<*>', 'from', 'subId')",2
E53,"('<*>', '<*>', '<*>', '<*>', 'sensor', 'disabled')",1
E54,"('<*>', 'dynamic', 'color:', '<*>', '<*>', '<*>')",4
E55,"('<*>', 'notification', 'listener', '<*>', '<*>', '<*>')",1
E56,"('<*>', 'condition', 'provider', '<*>', '<*>', '<*>')",2
E57,"('<*>', 'name:', '<*>', '<*>', '<*>', '<*>')",4
E58,"('<*>', '<*>', 'Http', '<*>', '<*>', '<*>')",4
E59,"('<*>', 'of', ""'APP"", '<*>', '<*>', '<*>')",4
E60,"('<*>', '<*>', 'fetch', '<*>', '<*>', '<*>')",2
