EventId,EventTemplate,Occurrences
E0,"('Fatal', 'signal', '<*>', '(SIGABRT),', 'code', '<*>', '(SI_QUEUE)', 'in', 'tid', '<*>', '(init),', 'pid', '<*>', '(init)')",3
E1,"('Background', 'execution', 'not', 'allowed:', 'receiving', 'Intent', '{', '<*>', '<*>', '(has', 'extras)', '}', 'to', '<*>')",24
E2,"('Unable', 'to', 'start', 'service', 'Intent', '{', '<*>', '<*>', '(has', 'extras)', '}', '<*>', 'not', 'found')",8
E3,"('Update', 'package', '<*>', 'code', 'path', 'from', '<*>', 'to', '<*>', 'Retain', 'data', 'and', 'using', 'new')",2
E4,"('<*>', 'Accepted', 'model', 'directory', 'for', 'language', 'tag', 'en-US', 'does', 'not', 'exist', 'at', 'location', '<*>')",16
E5,"('<*>', '<*>', '<*>', '<*>', 'open()', 'failed', 'for', '<*>', 'No', 'such', 'file', 'or', 'directory', '<*>')",1
E6,"('cngw:', '<*>', 'Stale', 'snapshot', 'for', '<*>', 'count', 'changed', '-', 'expected', '<*>', 'but', 'was', '<*>')",2
E7,"('bugreport', 'type', '=', '<*>', 'bugreport', 'file', 'fd:', '{ParcelFileDescriptor:', '<*>', 'screenshot', 'file', 'fd:', '{ParcelFileDescriptor:', '<*>')",2
E8,"('(REDACTED)', 'Location', 'for', 'model', 'with', 'model', 'type:', '%s', 'and', 'locale:', '%s,', 'is', ':', '%s')",2
E9,"('MetaMeter:', 'handlePrimaryAsync()', '<*>', 'AdaptLaunch', 'MetaMeter.', 'No', 'MeterMgr', 'Available', 'to', 'handle', 'this', 'Primary', 'Async.', '!!!!')",34
E10,"('AdaptiveLaunch:', 'writeToDataBase()', '<*>', 'Meter', 'aborted', 'or', 'could', 'not', 'get', 'meter', 'data', 'for', 'this', 'run')",13
E11,"('<*>', '<*>', 'tftp-server', ':', 'INF', ':[tftp_server.c,', '<*>', 'rcvd', 'request', '<*>', '<*>', '<*>', '<*>', '<*>')",377
E12,"('<*>', '<*>', 'tftp-server', ':', 'INF', ':[tftp_os_la.c,', '<*>', 'open', ':', '<*>', '<*>', '<*>', '<*>', '<*>')",377
E13,"('<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', ',', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>')",8
E14,"('<*>', '<*>', 'avc:', 'denied', '{', 'connectto', '}', 'for', '<*>', '<*>', 'scontext=u:r:hal_bluetooth_default:s0', 'tcontext=u:r:vendor_diag-router:s0', 'tclass=unix_stream_socket', '<*>')",2
E15,"('<*>', '<*>', 'avc:', 'denied', '{', 'connectto', '}', 'for', '<*>', '<*>', 'scontext=u:r:hal_sensors_default:s0', 'tcontext=u:r:vendor_diag-router:s0', 'tclass=unix_stream_socket', '<*>')",10
E16,"('<*>', '<*>', 'avc:', 'denied', '{', 'getpgid', '}', 'for', 'comm=""ActivityManager""', 'scontext=u:r:system_server:s0', '<*>', '<*>', 'tclass=process', '<*>')",14
E17,"('<*>', '<*>', 'avc:', 'denied', '{', 'signal', '}', 'for', 'comm=""dumpstate_1""', 'scontext=u:r:dumpstate:s0', '<*>', '<*>', 'tclass=process', '<*>')",1
E18,"('<*>', '<*>', 'avc:', 'denied', '{', 'sys_ptrace', '}', 'for', 'comm=""ps""', '<*>', 'scontext=u:r:incidentd:s0', 'tcontext=u:r:incidentd:s0', 'tclass=capability', '<*>')",13
E19,"('<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', 'Q59xYHTaQ6r3XF9AothOkT2WBCm95FAUYDclQMOhtdQ=')",13
E20,"('<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>')",18
E21,"('avc:', 'denied', '{', 'find', '}', 'for', '<*>', '<*>', 'name=content_capture', '<*>', '<*>', 'tcontext=u:object_r:content_capture_service:s0', 'tclass=service_manager', '<*>')",27
E22,"('<*>', 'updateSpnDisplay:', 'radio', 'is', 'on', 'but', 'out', 'of', 'service,', 'set', ""plmn='Somente"", 'chamadas', 'de', ""emerg├¬ncia'"")",11
E23,"('<*>', 'setSignalStrengthReportingCriteria:', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>')",64
E24,"('disable<e', 'i', 'a', 's', 'b', 'h', 'r', 'c', 's', '>', 'disable2<q', 'i', 'n', '>')",11
E25,"('(REDACTED)', 'Task', '%s/%s', 'finished', 'executing.', 'cause:%s', 'result:', '%s', 'elapsed_millis:', '%s', 'uptime_millis:', '%s', 'exec_start_elapsed_seconds:', '%s')",3
E26,"('Deleted', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', 'items', 'on', 'external', 'due', 'to', 'com.whatsapp')",1
