EventId,EventTemplate,Occurrences
E0,"('AudioMix',)",79
E1,"('*vibrator*',)",121
E2,"('*job*/c.t.a/a.w.i.b.s.SystemJobService',)",7
E3,"('*job*/c.w/a.w.i.b.s.SystemJobService',)",7
E4,"('*job*/c.m.b.m/.n.NRCheckinJobService',)",7
E5,"('wake-and-unlock:wakelock',)",7
E6,"('*launch*',)",15
E7,"('IntentOp:.c.b.BackgroundBroadcastReceiverSupport$PersistentReceiverIntentOperation',)",15
E8,"('Icing',)",11
E9,"('NetworkStats',)",316
E10,"('*alarm*',)",37
E11,"('*telephony-radio*',)",765
E12,"('IWLAN_PROXY_WL',)",125
E13,"('RILJ_ACK_WL',)",84
E14,"('*gms_scheduler*:internal',)",44
E15,"('*gms_scheduler*/c.g.a.g/.a.a.b.a.GcmTaskService',)",1
E16,"('*job*/c.g.a.a.p/.d.i.DatabaseProcessorJobService',)",1
E17,"('*job*/c.t.a/c.g.a.d.r.s.j.JobInfoSchedulerService',)",1
E18,"('GCM_HB_ALARM',)",1
E19,"('GOOGLE_C2DM',)",1
E20,"('wake:com.google.firebase.iid.WakeLockHolder',)",1
E21,"('*gms_scheduler*/c.g.a.g/.c.u.QosUploaderService',)",5
E22,"('PhoneWindowManager.mPowerKeyWakeLock',)",22
E23,"('startDream',)",14
E24,"('DreamManagerService',)",14
E25,"('ActivityManager-Sleep',)",9
E26,"('LockoutResetMonitor:SendLockoutReset',)",9
E27,"('lockoutResetCallback',)",9
E28,"('Doze',)",38
E29,"('NlpWakeLock',)",66
E30,"('WifiSuspend',)",13
E31,"('AnalyticsIntentService',)",27
E32,"('*job*/c.m.m/.a.AnalyticsIntentService',)",19
E33,"('MotoDisplayWakeLock',)",42
E34,"('Scrims',)",23
E35,"('*job*/c.s.b.a/a.w.i.b.s.SystemJobService',)",3
E36,"('*job*/c.f.k/c.f.p.f.c.s.FBPapayaJobService',)",3
E37,"('*job*/c.g.a.g/.j.ProviderCreatedJob$ProviderCreatedJobService',)",2
E38,"('*job*/c.g.a.g/c.a.m.w.NotifyDatasetChangedJob$NotifyDatasetChangedJobService',)",2
E39,"('*job*/c.g.a.a.t/c.g.a.l.s.a.l.InferAppBucketsJob',)",2
E40,"('*location*:GnssLocationProvider',)",2
E41,"('*gms_scheduler*/c.g.a.g/.m.t.ScheduledTaskService',)",2
E42,"('NotifyRegistrantLock',)",2
