EventId,EventTemplate,Occurrences
E0,"('PhoneWindowManager.mPowerKeyWakeLock', '(partial)')",11
E1,"('WifiSuspend', '(partial)')",11
E2,"('RILS', '(partial)')",11
E3,"('BSS_InDisplaySensorHelper:P', '(partial)')",7
E4,"('BSS_InDisplaySensorHelper:D', '(draw)')",7
E5,"('ActivityManager-Sleep', '(partial)')",8
E6,"('startDream', '(partial)')",8
E7,"('*job*/c.g.a.g/a.w.i.b.s.SystemJobService', '(partial)')",8
E8,"('*job*/c.g.a.a.m/a.w.i.b.s.SystemJobService', '(partial)')",8
E9,"('*job*/c.s.a.k.a.u/.j.Job', '(partial)')",18
E10,"('LockoutResetMonitor:SendLockoutReset', '(partial)')",18
E11,"('*telephony-sem-radio*', '(partial)')",276
E12,"('*telephony-radio*', '(partial)')",249
E13,"('Doze', '(partial)')",18
E14,"('Scrims', '(partial)')",8
E15,"('DreamManagerService', '(doze)')",8
E16,"('AOD_EnsureWorkingTime', '(partial)')",8
E17,"('motion_service', '(partial)')",21
E18,"('show', 'keyguard')",9
E19,"('NlpWakeLock', '(partial)')",32
E20,"('faceLockoutResetCallback', '(partial)')",9
E21,"('lockoutResetCallback', '(partial)')",9
E22,"('*alarm*', '(partial)')",125
E23,"('*job*/c.i.a/c.i.u.o.StoryBackgroundPrefetchJobService', '(partial)')",58
E24,"('IntentOp:.c.b.BackgroundBroadcastReceiverSupport$PersistentReceiverIntentOperation', '(partial)')",19
E25,"('UlrDispSvcFastWL', '(partial)')",3
E26,"('Window:NotificationShade', '(draw)')",3
E27,"('SyncLoopWakeLock', '(partial)')",16
E28,"('*job*/c.w/.p.RegistrationIntentService', '(partial)')",16
E29,"('RILJ_ACK_WL', '(partial)')",37
E30,"('*job*/c.b.c.i/c.g.a.d.r.s.j.JobInfoSchedulerService', '(partial)')",10
E31,"('GCM_WORK', '(partial)')",57
E32,"('*job*/c.h.f/o.c.c.b.i.BackgroundTaskJobService', '(partial)')",2
E33,"('*job*/c.s.a.g.g/a.w.i.b.s.SystemJobService', '(partial)')",2
E34,"('*job*/c.w/.AlarmService', '(partial)')",2
E35,"('GnpBroadcastReceiver', '(partial)')",2
E36,"('*job*/c.s.e/c.s.a.s.s.SmpJobService', '(partial)')",2
E37,"('*job*/c.s.a.d/c.s.a.w.s.s.AppUpdateService', '(partial)')",2
E38,"('*job*/c.s.a.d/c.s.a.w.l.LoggerService', '(partial)')",2
E39,"('*job*/c.s.a.d/.s.FreeStatusCheckService', '(partial)')",2
E40,"('*job*/g/c.g/r.com:android', '(partial)')",2
E41,"('*job*/c.s.a.a.s/c.s.a.s.h.d.d.DataDisposerService', '(partial)')",2
E42,"('*job*/c.g.a.p/.InstalledAppJobService', '(partial)')",2
E43,"('*job*/c.g.a.a.t/c.g.a.l.s.a.l.InferAppBucketsJob', '(partial)')",2
E44,"('*job*/c.a.p.c/.CalendarProviderJobService', '(partial)')",2
E45,"('*job*/o.t.m/.KeepAliveJob', '(partial)')",24
E46,"('wake:com.google.firebase.iid.WakeLockHolder', '(partial)')",24
E47,"('GCM_READ', '(partial)')",29
E48,"('GOOGLE_C2DM', '(partial)')",29
E49,"('*job*/b.c.v/a.w.i.b.s.SystemJobService', '(partial)')",12
E50,"('*job*/o.m.f/a.w.i.b.s.SystemJobService', '(partial)')",12
E51,"('SharedExecutor', 'Lock')",19
E52,"('*job*/c.s.a.a.s/a.w.i.b.s.SystemJobService', '(partial)')",6
E53,"('*job*/c.h.f/i.g.c.d.PbJobService', '(partial)')",6
E54,"('*job*/c.g.a.g/.j.ProviderCreatedJob$ProviderCreatedJobService', '(partial)')",6
E55,"('*job*/c.g.a.g/c.a.m.w.NotifyDatasetChangedJob$NotifyDatasetChangedJobService', '(partial)')",6
E56,"('*gms_scheduler*/c.g.a.g/.c.u.QosUploaderService', '(partial)')",6
E57,"('*job*/c.s.a.m/a.w.i.b.s.SystemJobService', '(partial)')",6
E58,"('bugle_datamodel_executor_wakelock', '(partial)')",6
E59,"('Icing', '(partial)')",6
E60,"('*job*/c.w/a.w.i.b.s.SystemJobService', '(partial)')",20
E61,"('*vibrator*', '(partial)')",97
E62,"('*launch*', '(partial)')",26
E63,"('NetworkStats', '(partial)')",14
E64,"('*job*/c.r.f/a.w.i.b.s.SystemJobService', '(partial)')",36
E65,"('*job*/c.r.f/c.g.a.d.r.s.j.JobInfoSchedulerService', '(partial)')",4
E66,"('*job*/c.i.a/c.i.u.o.BackgroundPrefetchJobService', '(partial)')",4
E67,"('*job*/c.s.a.a.u/.BunchCheck', '(partial)')",4
E68,"('*job*/c.a.m.a.s/c.a.m.p.PushTokenRegistrationOrchestrator$PushTokenRegistrationJobService', '(partial)')",4
E69,"('*job*/c.g.a.y/a.w.i.b.s.SystemJobService', '(partial)')",4
E70,"('*job*/c.n.m/.s.j.NetflixJobService', '(partial)')",4
E71,"('*job*/c.o.a.s/a.w.i.b.s.SystemJobService', '(partial)')",4
E72,"('*job*/c.s.a.a.c/c.s.a.d.m.c.s.m.MakeSimDBService', '(partial)')",4
E73,"('*job*/c.s.a.m/.s.b.a.p.s.ContactObserverService', '(partial)')",4
E74,"('*job*/c.s.a.m/.l.p.s.ContactDataObserverService', '(partial)')",4
E75,"('*job*/c.s.a.m/.s.c.p.s.j.RecoveryJobService', '(partial)')",4
E76,"('*job*/c.s.a.a.c/c.s.a.c.s.ScpmPolicyService', '(partial)')",4
E77,"('*job*/c.s.a.a.s/c.s.a.a.s.w.p.PackageInformationJobIntentService', '(partial)')",4
E78,"('deviceidle_going_idle', '(partial)')",5
E79,"('*gms_scheduler*/c.g.a.g/.i.p.IcingInternalCorporaUpdateService', '(partial)')",5
E80,"('*gms_scheduler*:internal', '(partial)')",53
