LineId,Date,Time,Pid,Id,Content,EventId,EventTemplate
1,05-12,01:07:14.177,1001,ACQ,*telephony-radio* (partial),d5968584,*telephony-radio* (partial)
2,05-12,01:07:14.202,1001,REL,*telephony-radio*,4e4b905a,*telephony-radio*
3,05-12,01:07:14.202,1001,ACQ,*telephony-radio* (partial),d5968584,*telephony-radio* (partial)
4,05-12,01:07:14.203,1001,REL,*telephony-radio*,4e4b905a,*telephony-radio*
5,05-12,01:07:14.203,1001,ACQ,*telephony-radio* (partial),d5968584,*telephony-radio* (partial)
6,05-12,01:07:14.203,1001,REL,*telephony-radio*,4e4b905a,*telephony-radio*
7,05-12,01:07:14.203,1001,ACQ,*telephony-radio* (partial),d5968584,*telephony-radio* (partial)
8,05-12,01:07:14.213,1001,REL,*telephony-radio*,4e4b905a,*telephony-radio*
9,05-12,01:07:14.213,1001,ACQ,*telephony-radio* (partial),d5968584,*telephony-radio* (partial)
10,05-12,01:07:14.214,1001,REL,*telephony-radio*,4e4b905a,*telephony-radio*
11,05-12,01:07:14.216,1001,ACQ,*telephony-radio* (partial),d5968584,*telephony-radio* (partial)
12,05-12,01:07:14.216,1001,REL,*telephony-radio*,4e4b905a,*telephony-radio*
13,05-12,01:07:14.216,1001,ACQ,*telephony-radio* (partial),d5968584,*telephony-radio* (partial)
14,05-12,01:07:14.224,1001,REL,*telephony-radio*,4e4b905a,*telephony-radio*
15,05-12,01:07:14.224,1001,ACQ,*telephony-radio* (partial),d5968584,*telephony-radio* (partial)
16,05-12,01:07:14.224,1001,REL,*telephony-radio*,4e4b905a,*telephony-radio*
17,05-12,01:07:14.225,1001,ACQ,*telephony-radio* (partial),d5968584,*telephony-radio* (partial)
18,05-12,01:07:14.226,1001,REL,*telephony-radio*,4e4b905a,*telephony-radio*
19,05-12,01:07:14.226,1001,ACQ,*telephony-radio* (partial),d5968584,*telephony-radio* (partial)
20,05-12,01:07:14.233,1001,REL,*telephony-radio*,4e4b905a,*telephony-radio*
21,05-12,01:07:14.233,1001,ACQ,*telephony-radio* (partial),d5968584,*telephony-radio* (partial)
22,05-12,01:07:14.234,1001,REL,*telephony-radio*,4e4b905a,*telephony-radio*
23,05-12,01:07:14.237,1001,ACQ,*telephony-radio* (partial),d5968584,*telephony-radio* (partial)
24,05-12,01:07:14.237,1001,REL,*telephony-radio*,4e4b905a,*telephony-radio*
25,05-12,01:07:14.237,1001,ACQ,*telephony-radio* (partial),d5968584,*telephony-radio* (partial)
26,05-12,01:07:14.247,1001,REL,*telephony-radio*,4e4b905a,*telephony-radio*
27,05-12,01:07:14.247,1001,ACQ,*telephony-radio* (partial),d5968584,*telephony-radio* (partial)
28,05-12,01:07:14.248,1001,REL,*telephony-radio*,4e4b905a,*telephony-radio*
29,05-12,01:07:14.248,1001,ACQ,*telephony-radio* (partial),d5968584,*telephony-radio* (partial)
30,05-12,01:07:14.249,1001,REL,*telephony-radio*,4e4b905a,*telephony-radio*
31,05-12,01:07:14.249,1001,ACQ,*telephony-radio* (partial),d5968584,*telephony-radio* (partial)
32,05-12,01:07:14.264,1001,REL,*telephony-radio*,4e4b905a,*telephony-radio*
33,05-12,01:07:14.264,1001,ACQ,*telephony-radio* (partial),d5968584,*telephony-radio* (partial)
34,05-12,01:07:14.270,1001,REL,*telephony-radio*,4e4b905a,*telephony-radio*
