LineId,Date,Time,Pid,Id,Content,EventId,EventTemplate
1,01-15,13:52:47.934,1000,REL,NetworkStats,3389dae3,*
2,01-15,13:53:04.293,1001,ACQ,*telephony-radio* (partial),d5968584,*telephony-radio* (partial)
3,01-15,13:53:04.294,1001,REL,*telephony-radio*,4e4b905a,*telephony-radio*
4,01-15,13:53:04.294,1001,ACQ,*telephony-radio* (partial),d5968584,*telephony-radio* (partial)
5,01-15,13:53:09.674,1001,REL,*telephony-radio*,4e4b905a,*telephony-radio*
6,01-15,13:53:09.675,1001,ACQ,*telephony-radio* (partial),d5968584,*telephony-radio* (partial)
7,01-15,13:53:09.676,1001,REL,*telephony-radio*,4e4b905a,*telephony-radio*
8,01-15,13:53:09.790,1000,ACQ,NetworkStats (partial),7a690d26,* (partial)
9,01-15,13:53:09.800,1000,REL,NetworkStats,3389dae3,*
10,01-15,13:53:09.812,1000,ACQ,NetworkStats (partial),7a690d26,* (partial)
11,01-15,13:53:09.812,1000,ACQ,prevent full-screen wakelock in EnqueueNotificationRunnable (partial),73f00906,prevent full-screen wakelock in EnqueueNotificationRunnable (partial)
12,01-15,13:53:09.820,1000,REL,NetworkStats,3389dae3,*
13,01-15,13:53:09.822,1000,ACQ,NetworkTimeUpdateService (partial),7a690d26,* (partial)
14,01-15,13:53:09.828,1000,ACQ,time_detector (partial),7a690d26,* (partial)
15,01-15,13:53:09.828,1000,REL,time_detector,cd025981,time_detector
16,01-15,13:53:09.831,1000,REL,NetworkTimeUpdateService,3389dae3,*
17,01-15,13:53:09.844,10204,ACQ,GCM_WORK (partial),7a690d26,* (partial)
18,01-15,13:53:09.849,10204,ACQ,NlpWakeLock (partial),7a690d26,* (partial)
19,01-15,13:53:09.857,10204,REL,NlpWakeLock,3389dae3,*
20,01-15,13:53:09.858,10204,ACQ,GCM_CONN_ALARM (partial),7a690d26,* (partial)
21,01-15,13:53:09.859,1000,ACQ,NetworkStats (partial),7a690d26,* (partial)
22,01-15,13:53:09.862,10204,REL,GCM_WORK,3389dae3,*
23,01-15,13:53:09.865,1000,ACQ,SyncLoopWakeLock (partial),7a690d26,* (partial)
24,01-15,13:53:09.881,1000,REL,SyncLoopWakeLock,3389dae3,*
25,01-15,13:53:09.882,1000,ACQ,SyncLoopWakeLock (partial),7a690d26,* (partial)
26,01-15,13:53:09.885,1000,REL,SyncLoopWakeLock,3389dae3,*
27,01-15,13:53:09.886,1000,ACQ,SyncLoopWakeLock (partial),7a690d26,* (partial)
28,01-15,13:53:09.894,1000,REL,SyncLoopWakeLock,3389dae3,*
29,01-15,13:53:09.894,1000,ACQ,SyncLoopWakeLock (partial),7a690d26,* (partial)
30,01-15,13:53:09.898,1000,REL,SyncLoopWakeLock,3389dae3,*
31,01-15,13:53:09.900,1000,ACQ,SyncLoopWakeLock (partial),7a690d26,* (partial)
32,01-15,13:53:09.904,1000,REL,SyncLoopWakeLock,3389dae3,*
33,01-15,13:53:09.904,1000,ACQ,SyncLoopWakeLock (partial),7a690d26,* (partial)
34,01-15,13:53:09.908,1000,REL,SyncLoopWakeLock,3389dae3,*
35,01-15,13:53:09.909,1000,ACQ,SyncLoopWakeLock (partial),7a690d26,* (partial)
36,01-15,13:53:09.912,1000,REL,SyncLoopWakeLock,3389dae3,*
37,01-15,13:53:09.913,1000,ACQ,SyncLoopWakeLock (partial),7a690d26,* (partial)
38,01-15,13:53:09.919,1000,REL,SyncLoopWakeLock,3389dae3,*
39,01-15,13:53:09.920,1000,ACQ,SyncLoopWakeLock (partial),7a690d26,* (partial)
40,01-15,13:53:09.922,1000,REL,SyncLoopWakeLock,3389dae3,*
41,01-15,13:53:09.923,1000,ACQ,SyncLoopWakeLock (partial),7a690d26,* (partial)
42,01-15,13:53:09.926,1000,REL,SyncLoopWakeLock,3389dae3,*
43,01-15,13:53:09.927,1000,ACQ,SyncLoopWakeLock (partial),7a690d26,* (partial)
44,01-15,13:53:09.930,1000,REL,SyncLoopWakeLock,3389dae3,*
45,01-15,13:53:09.931,1000,ACQ,SyncLoopWakeLock (partial),7a690d26,* (partial)
46,01-15,13:53:09.934,1000,REL,SyncLoopWakeLock,3389dae3,*
47,01-15,13:53:09.935,1000,ACQ,SyncLoopWakeLock (partial),7a690d26,* (partial)
48,01-15,13:53:09.937,1000,REL,SyncLoopWakeLock,3389dae3,*
49,01-15,13:53:09.937,1000,ACQ,SyncLoopWakeLock (partial),7a690d26,* (partial)
50,01-15,13:53:09.940,1000,REL,SyncLoopWakeLock,3389dae3,*
51,01-15,13:53:09.940,1000,ACQ,SyncLoopWakeLock (partial),7a690d26,* (partial)
52,01-15,13:53:09.944,1000,REL,SyncLoopWakeLock,3389dae3,*
53,01-15,13:53:09.957,1000,REL,NetworkStats,3389dae3,*
54,01-15,13:53:09.984,1000,REL,prevent full-screen wakelock in EnqueueNotificationRunnable,64633af2,prevent full-screen wakelock in EnqueueNotificationRunnable
55,01-15,13:53:09.985,1000,ACQ,prevent full-screen wakelock in EnqueueNotificationRunnable (partial),73f00906,prevent full-screen wakelock in EnqueueNotificationRunnable (partial)
56,01-15,13:53:09.994,1000,ACQ,NetworkStats (partial),7a690d26,* (partial)
57,01-15,13:53:10.006,1000,REL,NetworkStats,3389dae3,*
58,01-15,13:53:10.011,1000,REL,prevent full-screen wakelock in EnqueueNotificationRunnable,64633af2,prevent full-screen wakelock in EnqueueNotificationRunnable
59,01-15,13:53:10.012,1000,ACQ,prevent full-screen wakelock in EnqueueNotificationRunnable (partial),73f00906,prevent full-screen wakelock in EnqueueNotificationRunnable (partial)
