EventId,EventTemplate,Occurrences
7cc7dfbd,boot args 0x*** 0x*** <*> <*>,3
9edc0584,"gicc 0x***, gicd 0x***, gicr 0x***",3
ab19073b,"<*> <*> <*> <*> <*> <*>, <*> <*> <*> <*> <*>",3
976ad6d4,<*> <*>.<*> <*> <*> <*> <*>,1
cff98c8e,Detected support <*> <*> <*> <*>,1
c25fca3f,<*> completed <*>,2
aab55209,<*> <*>: <*>,17
84b9d8f9,"int fs_init_from_super(struct fs *, const struct super_block *, fs_init_flags32_t):<*>: <*> <*> <*> <*> <*>",9
0a6df41a,<*> <*> <*> <*> <*> <*> with <*>,1
e985d1ab,"metadata_key_dir<*>: <*> <*>:<*>:<*>.<*> root <*> <*> D vold : Key exists, using: <*>",1
0b2578ec,<*> <*> is <*>,10
667a1f41,<*> <*> <*> <*> <*> for <*>,3
644dd7a7,<*> <*> <*> <*> to <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,1
ff744b94,<*> Starting thread pool <*>,1
39cb6b7a,<*> <*> <*> <*> <*> <*> <*> for <*> <*> <*>,2
a48f2f03,<*> <*> <*> <*> <*>.<*> <*>,1
118abf34,<*> <*> thread pool <*>,1
a9682fb9,<*> <*>: <*> <*> <*> <*>,3
80887632,Mounting <*> <*>,1
d8cc3530,<*> <*> <*> on <*>,6
90d40c50,<*> <*> <*> -c <*> <*> <*>,1
92d082df,keystore2::shared_secret_negotiation: <*> <*> <*> <*> <*>,1
88475708,<*> <*> does not <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,1
651db7c2,"[libfs_mgr]__mount(source=<*>,target=<*>,type=f2fs)=<*>: Success",1
bed5e1e9,Mounted <*>,1
d36a2ad1,<*> called,2
5da0d63f,fscrypt_initialize_systemwide_keys,1
4e331250,"Key exists, using: <*>",1
f91599fc,<*> <*> <*> with <*> <*> <*> <*>,5
c38c4ca0,<*> <*> <*> for <*> <*> <*> <*>,69
909e610d,Wrote <*> <*> <*> <*> <*>,2
ea9115b1,<*> <*> storage key,1
7ce3d42e,<*> <*> <*> <*> the <*> <*>,1
587faf68,<*>: <*>,23
574659ea,<*> true,3
d95e6780,IncFs_Features: v2,1
a22ba2a0,<*> In <*>,1
acd16dec,<*> <*> <*> <*> <*> for <*> <*> <*> <*> <*>,1
6459fbb6,keystore2::globals: <*> <*> <*>,1
b984cede,<*> Starting <*> <*> <*>,1
efa98a3a,keystore2::super_key: Read <*> value <*>,2
351812d3,<*> <*> <*> <*> <*> for <*> <*> <*>,26
24ee1fa2,<*> <*> <*> <*> <*> -<*>,4
510ef8f1,<*> <*> boot <*> <*> <*> <*>,1
3bbf2597,<*> start <*> <*>,1
3ba4b5a0,fscrypt_init_user0,1
d75837d9,Preparing: <*>,14
3cf49fdb,<*> <*> <*> for <*> <*>,1074
1208e68f,"<*> <*> <*> <*> <*> <*>, <*> <*> <*> <*>",2
84022eb3,<*> <*> <*> <*> the <*> <*> <*> <*> <*> <*> <*> <*>,9
2528f150,<*>,1362
09fc7230,prepare,2
3951cff6,<*> <*> for <*>,3
80899edd,<*> to <*> <*> <*> <*>,21
9b5d9b5c,<*> <*> key <*>,1
53522af7,Initialized Keystore key.,1
1d5d6f68,Found <*> <*> <*> <*> <*> <*> <*>,1
e53beaf0,<*> <*> version <*>,2
c00bae1f,Factory <*> APEX <*>,2
db0a8628,<*> <*> <*> <*> to <*> <*>,28
627a5d35,Factory <*> <*>,1
a314222f,<*> not <*>,9
b8cf3132,<*> <*> <*> are <*>,1
c3dbb1b5,<*> <*> done.,1
5a4066e5,"<*> <*> <*> <*> <*> <*>, <*>",1
2cf81200,<*> started,5
7b9babe2,Registered <*>,6
1b8a7204,<*> <*> <*> <*> file <*> <*>,1
1ae6f93c,<*> <*> is <*> <*>,28
aff7a4c8,<*> <*> up,2
b57c9712,<*> is <*> <*>,2
bbcc3e37,<*> <*> <*> <*> <*> <*> = <*> <*> <*>,18
90dd5586,<*> Creating <*>,1
2ad8857c,dpm_bandwidth_manager.cc:<*>: dpm: WhiDpmClockBandwidthManager,1
1f6ba42b,<*> <*> = <*>,61
38a67d61,<*> <*> <*> = <*>,26
07e4bf97,whi_device_context.cc:<*>: Using external <*> <*> <*> <*>,4
feb449c0,<*> <*> <*> <*> is <*> <*> <*> <*>,6
c028ff70,<*> <*> <*> <*> <*> <*> for <*> <*> <*>,5
21ebc81f,"<*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>, <*> <*> <*> <*>, <*> <*> <*> <*>",1
703683c3,InitBeforeStartServices,1
214c72c7,<*> the <*> <*> <*>,2
8b8dcbec,<*> <*> with <*> <*>,5
580b1cbe,StartServices,1
74932556,startBootstrapServices,1
0825f5c4,StartWatchdog,1
2a4f3a2d,Reading <*>,1
2cc58c25,ReadingSystemConfig,1
c860dd65,PlatformCompat,1
c8b014db,InitThreadPoolExec:ReadingSystemConfig,1
14643745,Reading permissions from <*>,52
64de40ff,Found a config <*> <*>,14
2c9cb216,<*> <*>@<*>,195
2382f8e5,<*> <*> from <*>,113
6c30689c,getActiveApexInfos_noCache,1
bc75bda9,No <*> <*> <*>,30
4702e99f,StartFileIntegrityService,1
970fae95,Starting <*>,156
11c49bb6,Invalid <*> <*> <*>: <*> <*> <*>: <*> <*> <*>,2
d35e911f,StartInstaller,1
2b03293a,DeviceIdentifiersPolicyService,1
c9f5f53e,UriGrantsManagerService,1
e25e0a3d,StartPowerStatsService,1
f24a0ec4,StartIStatsService,1
32d7f312,MemtrackProxyService,1
96b528e9,StartActivityManager,1
5404b984,Adding <*> <*> <*> <*>,30
3392d644,Memory <*> <*>,1
a7cf9f04,"<*> <*> <*> <*> <*> <*> <*>, <*>",3
897cf68e,<*> is <*> <*> <*> <*>,62
4e2e301d,"<*> <*> with <*> <*> <*>, <*>",16
f4ebc361,Reading <*> <*> from <*>,1
a4929a2f,mPerClusterTimesAvailable=true,1
d2b1abe0,No <*> <*> <*> <*> <*>,9
7f04ae97,Read new <*> <*> <*> <*>,1
17d8b473,Not <*> <*> <*>,100
8735e014,AppOpsService published,1
d7ee97d1,StartDataLoaderManagerService,1
d341bfdc,No <*> <*> <*> <*> <*> <*>,10
2155c6f9,StartIncrementalService,1
4b039d22,StartPowerManager,1
bef9bab8,StartThermalManager,1
253aba0f,StartHintManager,1
2ea051b0,InitPowerManagement,1
f4f508b7,StartRecoverySystemService,1
4f886d65,Syncing <*> <*> <*> <*> <*>,2
836331f4,Not <*> <*> <*> <*> <*>,3
d96ec585,<*> <*> <*> <*> to <*>,25
ac808d8f,<*> <*> <*> to <*>,262
aac1ca0b,StartLightsService,1
3a377da5,StartDisplayOffloadService,1
5f8fdac0,StartSidekickService,1
a7f14395,StartDisplayManager,1
50c907b5,WaitForDisplay,1
335c9824,Starting <*> <*>,9
580e1f99,OnBootPhase_100,1
3a34bb5d,<*>$Lifecycle,399
6c9dbc23,<*> <*> <*> <*> with <*> <*>,17
0fef7652,<*> <*> <*> no <*> <*> <*> <*> <*> <*>,2
b5afbbed,<*> <*> <*>: <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,1
2b12736a,<*> <*> <*> <*> <*> <*> <*> Previous <*> null,1
fcfed8de,Adding <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,1
46500690,<*> <*> <*> <*> <*> for <*> <*> <*> <*> <*> <*>,1
cf078922,Missing <*> <*> <*> <*> <*>,3
3dcdc857,StartDomainVerificationService,1
69bd043c,StartPackageManagerService,1
30bc4ceb,<*> <*> <*> <*> for <*> <*> <*> <*> <*>,15
b5445c3d,<*> <*> manager,2
7aede571,createSubComponents,1
6af88239,addSharedUsers,1
501c89dc,<*> <*> not <*>,8
b1511074,<*> <*> config,1
e2ce3657,<*> <*> file <*>,5
208f9733,loadFallbacks,1
948df8fc,<*> user <*>,1
756cd2e4,Package <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,94
1fac2b91,<*> <*> <*> for <*> <*> <*> <*> <*>,132
84d99a6c,<*> <*> <*> for <*> <*> <*>,35
d5751af4,<*> <*> as <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,1
14cbe05f,Keeping known cache <*>,1
43b63fb9,Compat change id reported: <*>; UID <*> state: DISABLED,2
c760935e,Compat change id reported: <*>; UID <*> state: <*>,1
029e7e08,<*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> to <*> <*> <*> <*> <*> <*> <*>,2
9026526b,<*> to <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,2
f8916625,<*> to <*> <*> <*> <*> <*> <*> <*>,216
0d967ed1,<*> <*> <*> <*> <*> package <*> <*> <*> <*> <*> <*>,2
781c8b6a,<*> <*> <*> <*> has <*> <*>,1
592b68ff,<*> to <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,5
309a9b79,Registering <*> <*> <*> of <*>,21
0fd8275b,Finished scanning system <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,1
655a185b,<*> <*> <*> <*> from <*> <*> <*> <*>,4
3397ecd3,real_cpi_controller.cc:<*>: <*> <*> controller <*> <*> <*> <*> <*> <*> <*>,1
0a34ad69,whi_device_context.cc:<*>: Using <*> as <*>,4
fa9bdcd3,<*> <*> <*> not <*> <*>,10
dbe8c540,<*> <*> <*> <*> not <*> <*> <*> <*>,5
5d323d88,Finished <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,1
b1e2975f,<*> <*> <*> <*> <*> <*> storage <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,1
bbc038b8,Permission <*> <*> <*> <*> <*>,3
f909c798,<*> for <*> <*> <*> <*>,5
7da16b09,reconcileAppsData finished <*> <*>,2
994c8096,<*> settings,1
069365fe,InitThreadPoolExec:prepareAppData,1
722bf811,GC,1
579f75b3,<*> for <*> is <*>,1
f745eacc,<*> that <*> <*> <*> <*> <*>,1
01d46cfd,<*> has <*> <*>,1
39401614,Configuring <*> <*> <*> <*>,1
01f45d4b,StartOtaDexOptService,1
398dec01,StartUserManagerService,1
771119c5,InitAttributerCache,1
e9e4604d,SetSystemProcess,1
2b42d4e3,Connection with <*> <*>,1
62c4ff09,Compat change id reported: <*>; UID <*>; state: <*>,1660
e0fc48b7,InitWatchdog,1
232f61d5,StartOverlayManagerService,1
d952b8b5,Interaction <*> <*> <*>,16
6449d1ef,<*> Start,1
fd76b68a,<*> <*> <*> <*> for <*>,55
c41cb6ab,<*> <*> finished <*> packages,1
31b1c63e,StartResourcesManagerService,1
7f5567ab,StartSensorPrivacyService,1
6a4d365f,Skip <*> because <*> <*> set,1
dba31ee7,StartSensorService,1
1aaef768,startCoreServices,1
1ef756a4,StartSystemConfigService,1
8e272586,InitThreadPoolExec:StartNativeSensorService,1
fdb495c1,StartNativeSensorService,1
ae505ccf,StartBatteryService,1
9d76e333,<*> <*> <*> to <*> <*>,333
469dbd12,<*> <*> <*> <*> <*> the <*>,1
86749418,StartUsageService,1
4785ca48,StartWebViewUpdateService,1
c2b57bab,StartCachedDeviceStateService,1
833b54c0,StartBinderCallsStatsService,1
9a38e995,StartLooperStatsService,1
56d3e28c,StartRollbackManagerService,1
83f14ed1,StartNativeTombstoneManagerService,1
b9fdad67,StartBugreportManagerService,1
ac9c59e4,GpuService,1
297f1a36,startOtherServices,1
2c5c241a,StartKeyAttestationApplicationIdProviderService,1
629aeeb5,InitThreadPoolExec:SecondaryZygotePreload,1
5baec0c4,SecondaryZygotePreload,2
a870c429,StartKeyChainSystemService,1
7b1e4b13,StartBinaryTransparencyService,1
4cbca7f1,Started <*>,1
62638b1a,StartSchedulingPolicyService,1
9abe3773,InitThreadPoolExec:SchedulingPolicyService.<init>,1
a7f734ad,StartTelecomLoaderService,1
a356e190,StartTelephonyRegistry,1
964761a6,StartEntropyMixer,1
842d17f2,Loaded <*> <*> file,1
7284b8a3,<*> <*> file,2
042b4a8b,StartAccountManagerService,1
d1fc8216,StartContentService,1
adb153b4,InstallSystemProviders,1
9ea58461,<*> enabled,1
1b610054,UpdateWatchdogTimeout,1
fa7eada3,StartDropBoxManager,1
c455b0f6,StartRoleManagerService,1
e659b84c,StartVibratorManagerService,1
ef7230a0,StartDynamicSystemService,1
2771b86c,StartConsumerIrService,1
fef73c40,StartResourceEconomy,1
43c7714b,StartAlarmManagerService,1
bcd9f6b2,"<*> <*> <*> <*>, <*> to <*> <*> <*>",1
561ed66f,StartInputManagerService,1
9f754358,Initializing <*> <*> <*>,2
54b07124,DeviceStateManagerService,1
0435d515,StartCameraServiceProxy,1
1d9e01e5,StartWindowManagerService,1
37abd0b9,OnBootPhase_200,1
bd8d41be,<*>$LifeCycle,20
f4350072,SetWindowManagerService,1
69c4d5d5,<*> <*> <*> <*> for <*> <*>,41
7284329a,WindowManagerServiceOnInitReady,1
6492d96a,tuning_provider_base.cc:<*>: <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,1
a53f9cf0,sensor_generic_driver.h:<*>: <*> Setting base ISO: <*>--><*>.<*>,5
afc82642,sensor_generic_driver.h:<*>: <*> Setting base ISO: <*>,1
678dba30,<*> <*> <*> <*> <*> is <*>,1
01736354,Slow <*> <*> <*> <*> <*> <*> <*>,11
bce1c903,StartInputManager,1
89cad8f8,InitThreadPoolExec:StartHidlServices,1
1f792e55,StartHidlServices,1
06d7c9a5,DisplayManagerWindowManagerAndInputReady,1
0e61721b,StartBluetoothService,1
df528e1b,IpConnectivityMetrics,1
25b6cd31,NetworkWatchlistService,1
d00480d7,<*> <*> settings <*>,1
de27939f,Last <*> time is <*> <*> <*> <*> <*> <*>,2
4f0acd58,PinnerService,1
672767e9,SignedConfigService,1
966d3fb2,AppIntegrityService,1
c7b0dcd3,<*> null,40
1ef61831,Error <*> <*> <*> <*> <*>,1
23925bbc,StartLogcatManager,1
56f689c4,<*> <*> on <*> <*>,2
0073b4e8,StartInputMethodManagerLifecycle,1
a40a4190,StartAccessibilityManagerService,1
904c0ef8,MakeDisplayReady,1
61125846,"<*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>, <*> <*> <*> <*> <*>, <*> <*> <*> <*> <*>, <*> <*> <*> <*> <*> <*> <*> <*> <*>",2
804e123c,<*> config <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,2
9123c6df,[<*>] <*> <*> to <*> for <*>,9
6545ba80,StartStorageManagerService,1
bf80a5a5,Thinking about <*> <*> mDaemonConnected=true,6
3a3efcae,StartStorageStatsService,1
16637de4,StartUiModeManager,1
a8de9fce,InitThreadPoolExec:UiModeManager.onStart,1
818ab032,StartLocaleManagerService,1
69ed097e,UpdatePackagesIfNeeded,1
66ad504c,PerformFstrimIfNeeded,1
757f7857,StartLockSettingsService,1
e42659a3,StartPersistentDataBlock,1
3ed137a7,StartTestHarnessMode,1
