EventId,EventTemplate,Occurrences
1bbb8efa,<*> (partial),2056
96c9f283,NetworkStats,412
81f93427,AudioMix,528
0f8562f6,*alarm*,184
54373163,GCM_READ,44
e2b93ec1,GCM_WORK,98
b088eee8,wake:com.google.firebase.iid.WakeLockHolder,4
fb934ef1,GOOGLE_C2DM,20
3b257378,*telephony-radio*,279
4bc83936,GCM_HB_ALARM,29
24f32aaa,*job*/c.f.s/c.f.a.l.LollipopUploadService,2
dc67fd07,WorkManager:TikTokListenableWorker startWork -> com.google.apps.tiktok.sync.impl.workmanager.SyncWorker startWork() -> com.google.apps.tiktok.sync.impl.workmanager.SyncWorker startWork() -> NoAccountWorkerFactory startWork() <*>,4
21ac5823,*job*/c.g.a.a.t/c.g.a.l.s.a.l.InferAppBucketsJob,4
a0642d57,WorkManager:TikTokListenableWorker startWork -> com.google.apps.tiktok.sync.impl.workmanager.SyncWorker startWork() -> com.google.apps.tiktok.sync.impl.workmanager.SyncWorker startWork() -> NoAccountWorkerFactory startWork(),4
cd23728f,*job*/c.g.a.a.m/a.w.i.b.s.SystemJobService,3
fd166b35,bugle_datamodel_executor_wakelock,12
66e8f808,*job*/c.m.c/.w.WfcJobIntentService,6
f10ae3e5,*job*/c.m.m/c.m.m.s.d.b.BatteryLevelJob,10
bbc2e9c9,*gms_scheduler*:internal,68
1aae3d04,*gms_scheduler*/c.g.a.g/.s.s.SafeBrowsingGmsTaskBoundService,2
b582b7d5,GnpBroadcastReceiver,6
cce370e6,*location*,16
8d50e2d1,FusedLocation,16
003d5268,CMWakeLock,12
6cbc7547,UlrDispSvcFastWL,13
d44b9f90,UlrDispSvcSlowWL,2
e3c5f70c,SyncLoopWakeLock,24
92f6a5a7,*job*/c.g.a.i.l/c.g.a.l.i.t.JobSchedulerImpl$TaskRunnerJobService,2
60c6ecd1,*gms_scheduler*/c.g.a.g/.a.a.b.a.GcmTaskService,2
350d81f0,*gms_scheduler*/c.g.a.g/.c.u.QosUploaderService,6
558c1321,*job*/c.w/.c.u.ExceptionsUploadService,2
2bf41df3,com.whatsapp:NtpAction#updateNtp,2
d524e8b3,*job*/c.w/.AlarmService,4
44785059,*job*/c.a.c/c.w/WhatsApp:android,2
646b4b83,*sync*/com.android.contacts/com.whatsapp/WhatsApp,2
d10889ff,com.android.server.stats.StatsCompanionService$PullingAlarmListener,2
5f9b6d18,RILJ_ACK_WL,22
96637f6e,*job*/c.m.m/c.m.m.e.s.p.a.AppUsageDataCollector,2
b607c1c3,*job*/c.m.g/a.w.i.b.s.SystemJobService,2
6d8d2aa4,com.whatsapp:fullsync,2
713104a8,*job*/c.m.m/c.m.m.p.d.LoadDatasetJobService,2
d7c3b4e0,*job*/c.m.a/a.w.i.b.s.SystemJobService,2
7a35664d,WindowManager,4
4677481b,*launch*,16
b1b4e3b1,*vibrator*,10
87fdfffd,*job*/c.g.a.a.t/a.w.i.b.s.SystemJobService,2
