13EventId,EventTemplate,Occurrences
1bbb8efa,<*> (partial),1997
3b257378,*telephony-radio*,275
5f9f1872,IntentOp:.c.b.BackgroundBroadcastReceiverSupport$PersistentReceiverIntentOperation,23
3dc07353,*job*/c.g.a.a/a.w.i.b.s.SystemJobService#0,13
c78a69a1,*job*/c.g.a.a/a.w.i.b.s.SystemJobService#10,13
ca61e74d,*job*/c.g.a.a/a.w.i.b.s.SystemJobService#13,9
2c3c1795,NlpWakeLock,50
5f9b6d18,RILJ_ACK_WL,5
6cbc7547,UlrDispSvcFastWL,16
439b1f01,com.google.android.deskclock:AlarmAsyncTask,3
f19e2ca1,GCM_CONN_ALARM,18
347723d3,*job*/c.g.a.a.w.o/.ProvisioningDataService#6,4
003d5268,CMWakeLock,10
96c9f283,NetworkStats,8
0f8562f6,*alarm*,66
bbc2e9c9,*gms_scheduler*:internal,64
fd166b35,bugle_datamodel_executor_wakelock,10
81ee9922,Icing,23
1b29865d,Wakeful StateMachine: GeofencerStateMachine <*>,8
09c1a9dc,Wakeful StateMachine: GeofencerStateMachine,8
f8ce84ad,Scrims,5
74b61f0d,Doze,9
a504f712,*job*/c.g.a.a.p/.d.i.DatabaseProcessorJobService#1033,28
19d707ea,IntentOp:.u.e.InstallationIntentOperation,4
7fe02d05,nearby:ENWearableDeviceManager,11
a267b86c,Doze:KeyguardIndication,61
514250c0,*job*/c.g.a.a.p/c.g.a.l.s.a.BackgroundTaskJobService#1043,4
f14e6af3,*job*/c.g.a.a.w/a.w.i.b.s.SystemJobService#9,2
afef5dee,*job*/c.g.a.a.w/a.w.i.b.s.SystemJobService#10,2
bb775213,ChimeExecutorApi::com.google.android.calendar,1
4a755903,*job*/c.g.a.d/c.a.d.i.IndexingJobService#4369,2
db67c6e0,*job*/c.g.a.d/a.w.i.b.s.SystemJobService#15,4
cd048c6d,*job*/c.g.a.f/.s.AllowedAppListCleaningJobService#5000,2
1ad8268f,*job*/c.g.a.g/.j.GoogleMailWidgetAndShortcutSwitchJob$GoogleMailWidgetAndShortcutSwitchJobService#2000018,4
a01fbf8c,*job*/c.g.a.g/c.a.e.j.BootCompletedJob$BootCompletedJobService#2000021,4
1692f86d,*job*/c.g.a.g/a.w.i.b.s.SystemJobService#555000004,4
6058b43d,ChimeBroadcastReceiver,4
e4ef1af3,<*> - <*> (partial),4
57726511,<*> - <*>,4
3520c71a,*job*/c.g.a.g/c.g.a.a.g.t.BackgroundTasksJobService#-369,4
2ba231be,*job*/c.g.a.g/c.g.a.a.g.t.BackgroundTasksJobService#-237,4
81c6a646,wake:CollectionChimeraSvc,6
585f65e0,*job*/c.g.a.g/a.w.i.b.s.SystemJobService#14,4
d5edb69b,*job*/c.g.a.h/.HardwareInfoService#0,4
04422e3c,*job*/c.g.a.a.m/.s.d.a.e.ActionJobService#124,4
e61ff6b3,*job*/c.g.a.p/.PhenotypeJobService#1,4
6b652127,fiid-sync,3
f349bf51,cpm_tasks,2
28b74af1,*job*/c.g.a.v/a.w.i.b.s.SystemJobService#9,4
d7543a9f,*job*/c.g.e/.s.StartOtaService#3,8
ec04e1c7,*job*/c.g.o.t/.SendNIService#1984,4
e928d312,IntentOp:.a.f.FrpUpdateIntentOperation,2
361a5221,*job*/c.g.p.l/.u.RestoreStateJobIntentService#1000,4
9db26dd9,*job*/c.g.a.p/.PhenotypeJobService#2,4
54e6a704,Checkin Service <*>,2
4b81f48e,messaging_service_start_wakelock,2
7ee34179,messaging_service_work_wakelock,2
f851a3a9,IntentOp:.r.n.RefreshNotificationsIntentOperation,2
dc10142c,IntentOp:.r.n.ScheduleTimeRemindersIntentOperation,2
10256db2,IntentOp:.c.c.InitConfigOperation,2
51147e1f,*gms_scheduler*/c.g.a.g/.p.g.PayGcmTaskService,10
f7479a8b,Checkin Service,2
5b1424f6,*job*/c.g.a.c/c.g.a.a.c.s.ShortcutJobService#7,8
1ac49919,SysUI:BroadcastSender,230
81cfe441,*job*/c.g.a.a.t/.n.SoftwareDropService#20001,4
a586c1a4,*job*/c.a.v/c.g.a.f.s.p.m.PhoneskyJobServiceMain#9131,4
d4660c5d,*job*/c.a.v/c.g.a.f.s.p.m.PhoneskyJobServiceMain#9136,4
df95d4f0,*job*/c.g.a.g/c.g.a.a.g.t.BackgroundTasksJobService#-49,4
9986523a,*job*/c.g.a.a.t/c.g.a.l.s.a.l.InferAppBucketsJob#106,8
0859089e,*gms_scheduler*/c.g.a.g/.t.g.TapAndPayGcmTaskService,2
fed153ed,*job*/c.g.a.p.g/c.g.a.a.a.c.a.f.LauncherIconStateVerificationService#234835806,4
9b5fff1c,*job*/c.a.v/c.g.a.f.s.p.m.PhoneskyJobServiceMain#9140,4
4a11eb67,*job*/c.g.a.c/.PhenotypeCommitterService#10,4
e131312a,*job*/a/c.a.s.a.c.ContactsIndexerMaintenanceService#16942831,4
f1b00ed4,*job*/a/c.a.s.s.DiskStatsLoggingService#1145656139,4
da075ce2,*job*/a/c.a.s.p.DynamicCodeLoggingService#203142925,4
2d53d463,*job*/a/c.a.s.PruneInstantAppsJobService#765123,4
7d3f6076,*job*/a/c.a.s.p.DynamicCodeLoggingService#2030028,4
4f348a68,*job*/a/c.a.s.d.BrightnessIdleJob#3923512,4
42cde665,*job*/a/c.a.s.n.w.ReportWatchlistJobService#882313,4
82956179,*job*/a/c.a.s.n.NotificationHistoryJobService#237039804,14
971e917f,*job*/c.g.a.n/c.a.n.i.RegularMaintenanceJobService#3345678,4
0bb5557a,*job*/c.g.a.a/a.w.i.b.s.SystemJobService#5,4
d6838b2f,*job*/c.g.a.a/a.w.i.b.s.SystemJobService#6,4
d993e51a,*job*/c.g.a.p.m.m/c.a.p.m.IdleService#-200,4
d18661bd,*job*/c.g.a.p.m.m/c.a.p.m.s.j.StableUriIdleMaintenanceService#-500,4
5d3002b4,*job*/c.g.a.a/c.g.a.a.m.a.e.s.EchoJobService#315933870,4
2199fec9,*job*/c.g.a.a/c.g.a.a.m.a.e.s.EchoJobService#405939170,4
7c824f7c,*job*/c.g.a.a/c.g.a.a.m.a.s.p.c.PixelSearchCronJobService#360265855,4
97aa0372,*job*/a/c.a.s.BinaryTransparencyService$UpdateMeasurementsJobService#168242978,4
7b1aa53a,*job*/a/c.a.s.p.BackgroundDexOptJobService#801,4
e9a6d0ae,*job*/c.a.v/c.g.a.f.s.p.m.PhoneskyJobServiceMain#9087,4
a3f065c3,*job*/a/c.a.s.b.BlobStoreIdleJobService#191934935,4
ff6f0c35,*job*/c.g.a.c/.CheckinService#9,4
18f4edd0,*job*/c.g.a.a.m/a.w.i.b.s.SystemJobService#1011,4
81b2539c,*job*/a/c.a.s.c.InactiveAssociationsRemovalService#92464686,4
fe934933,*job*/c.g.a.i.l/c.g.a.l.i.t.JobSchedulerImpl$TaskRunnerJobService#1534697245,4
ca03775b,*dexopt*,454
59ef4864,*job*/c.g.a.i.l/c.g.a.l.i.t.JobSchedulerImpl$TaskRunnerJobService#-1481937176,4
814580b3,*job*/a/c.a.s.p.d.DataMaintenanceService#204561367,4
4f113a8c,*job*/a/c.a.s.p.BackgroundDexOptJobService#800,4
ae8d6091,*job*/c.a.p.d/.DownloadIdleService#-100,4
b6742b85,*job*/c.g.a.s.i/.m.s.i.b.IndexingJobService#14,8
bf7bcf8a,*job*/c.a.v/c.g.a.f.s.p.m.PhoneskyJobServiceMain#9143,4
c52661f3,*job*/c.g.a.a.n.f/.m.MediaStoreContentChangeListenerService#7100,4
11b43694,*job*/c.g.a.a.p/c.g.a.l.s.m.MediaMonitorJobSchedulerService#1034,4
0594be31,dream:doze,2
6a96b025,dream:doze <*>,1
cabfeb1b,dream:dream,1
86971929,*job*/a/c.a.s.ZramWriteback#811,2
3400ebdb,*job*/c.g.a.p/.InstalledAppJobService#4096,4
2d576998,com.android.server.stats.StatsManagerService,1
e4a0a6e1,deviceidle_maint,2
0010df02,deviceidle_going_idle,3
705f0608,AnyMotionDetector,1
27c0f3cf,*location*:GnssLocationProvider,36
83438790,GCoreFlp,36
4d85caa2,shannonims:unsolicited,1
81f93427,AudioMix,145
b2fda609,*job*/c.g.a.g/c.g.a.a.g.t.BackgroundTasksJobService#-87,2
1b98563b,*gms_scheduler*/c.g.a.g/.c.GmsInternalBoundBrokerService,1
2c93a3c1,*gms_scheduler*/c.g.a.g/c.g.a.c.s.ContextManagerLogsUploadBoundService,1
7e57da7b,*job*/c.a.v/c.g.a.f.s.p.m.PhoneskyJobServiceMain#9074,2
94e70b5c,*job*/c.a.v/c.g.a.f.s.p.m.PhoneskyJobServiceMain#9145,2
b1b4e3b1,*vibrator*,26
4677481b,*launch*,21
f188ecb2,WindowManager/displayId:0 <*>,4
ef00d439,WindowManager/displayId:0,4
7e786078,RingtonePlayer,2
0d90da33,*job*/c.g.a.p.m.m/c.a.p.m.MediaService#-300,2
