EventId,EventTemplate,Occurrences
1bbb8efa,<*> (partial),1658
5ecccea2,PhoneWindowManager.mPowerKeyWakeLock,11
b6e6735b,BSS_InDisplaySensorHelper:D <*>,7
b2188529,BSS_InDisplaySensorHelper:P,7
0872f18b,BSS_InDisplaySensorHelper:D,7
0c40e5be,*job*/c.s.a.k.a.u/.j.Job,18
c9f7f006,*telephony-sem-radio*,276
3b257378,*telephony-radio*,249
c805c3a9,DreamManagerService <*>,8
84e635a0,ActivityManager-Sleep,8
99a450b6,<*> <*> (partial),9
0e3b04f3,startDream,8
19325c94,motion_service,21
abdb2c2a,show keyguard,9
f8ce84ad,Scrims,9
74b61f0d,Doze,19
2c3c1795,NlpWakeLock,32
1b29865d,Wakeful StateMachine: GeofencerStateMachine <*>,23
09c1a9dc,Wakeful StateMachine: GeofencerStateMachine,23
5637a93b,AOD_EnsureWorkingTime,9
768171ff,WifiSuspend,11
0da3738d,LockoutResetMonitor:SendLockoutReset,18
28f8b6e8,lockoutResetCallback,9
313330fa,faceLockoutResetCallback,9
d6901258,*job*/c.i.a/c.i.u.o.StoryBackgroundPrefetchJobService,58
6cbc7547,UlrDispSvcFastWL,3
5f9f1872,IntentOp:.c.b.BackgroundBroadcastReceiverSupport$PersistentReceiverIntentOperation,19
e3c5f70c,SyncLoopWakeLock,16
0f8562f6,*alarm*,125
509a9688,DreamManagerService,9
ebd38982,*job*/c.b.c.i/c.g.a.d.r.s.j.JobInfoSchedulerService,9
c5a1444e,RILS,11
5f9b6d18,RILJ_ACK_WL,37
e2b93ec1,GCM_WORK,57
3c546d03,*job*/c.h.f/o.c.c.b.i.BackgroundTaskJobService,2
f9632f4c,*job*/o.t.m/.KeepAliveJob,24
54373163,GCM_READ,29
b088eee8,wake:com.google.firebase.iid.WakeLockHolder,24
fb934ef1,GOOGLE_C2DM,29
e053ade6,prevent full-screen wakelock in EnqueueNotificationRunnable <*>,152
ece5e176,prevent full-screen wakelock in EnqueueNotificationRunnable,152
e9f64622,*job*/b.c.v/a.w.i.b.s.SystemJobService,12
5fd3c647,SharedExecutor Lock <*>,19
d8f34a12,SharedExecutor Lock,19
178f9232,*job*/c.s.a.a.s/a.w.i.b.s.SystemJobService,6
514fc9a6,*job*/c.s.a.g.g/a.w.i.b.s.SystemJobService,2
d524e8b3,*job*/c.w/.AlarmService,2
bcf58799,*job*/c.w/a.w.i.b.s.SystemJobService,19
aa27c9fb,*job*/c.w/.p.RegistrationIntentService,16
b582b7d5,GnpBroadcastReceiver,2
a7684106,"@Inflate:0|com.google.android.googlequicksearchbox|0|-216470462::a:snotification:[0x394,wx.f,NOTIFICATION]|10238",2
4677481b,*launch*,26
