EventId,EventTemplate,Occurrences
295c14e1,boot args 0x*** 0x*** <*> <*>,3
892993e6,"gicc 0x***, gicd 0x***, gicr 0x***",3
43256461,"initializing trusty (Project: slider, Build: <*>, Built: <*>:<*>:<*> Mar <*> <*>)",3
0bdb6b24,Vold <*>.<*> (the awakening) firing up,1
e6fab302,VoldNativeService::start() completed OK,1
b76f6155,"metadata_key_dir<*>: <*> <*>:<*>:<*>.<*> root <*> <*> D vold : Key exists, using: <*>",1
18b6081c,Mounting metadata-encrypted filesystem:<*>,1
2cf1c350,[libfs_mgr]Set readahead_kb: <*> on *,2
520bdc73,fscrypt_mount_metadata_encrypted: <*> encrypt: <*> format: <*> with null,1
2ce30375,system_state_server: <*>: trusty=<*><*> prov=<*><*> app=<*><*> roll=<*><*>,3
d23c2cb3,keystore2::maintenance: In early_boot_ended.,1
930eb947,keystore2::globals: Touching Keystore <*>.<*> database for this first time since boot.,1
e896e670,"int fs_init_from_super(struct fs *, const struct super_block *, fs_init_flags32_t):<*>: loaded super block version <*>",9
02f35c51,Installed fscrypt key with ref <*> to <*>,4
2dcfc9d7,"fscrypt_prepare_user_storage for volume null, user <*>, serial <*>, flags <*>",2
2064d804,Verified that <*> has the encryption policy <*> v2 modes <*><*> flags <*>,9
c8660ed6,Detected support for: ext4 f2fs vfat,1
a69bd9cd,hwkey_srv: <*>: commta<*>,1
3e6987fd,keystore2_main: Keystore2 is starting.,1
d718a441,keystore2_main: Setting up sqlite logging for keystore2,1
9aec7c66,"[libfs_mgr]__mount(source=<*>,target=<*>,type=f2fs)=<*>: Success",1
42d1fa40,* *,161
f659beb4,isFsAvailable: true,2
3d88a0a0,IncFs_Features: v2,1
567c0e8f,<*>.4Ghz frequencies: <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,4
f0d881e2,<*>.<*> <*>.<*> <*>.<*> <*>.<*> <*>.<*> <*>.<*> <*>.<*> <*>.<*> <*>.<*> <*>.<*> <*>.<*> <*>.<*> <*>.<*> <*>.<*> <*>.<*> <*>.<*> * matrix coefficients:,8
9c8e545a,<*>.<*> <*>.<*> <*>.<*> <*>.<*> <*>.<*> <*>.<*> <*>.<*> <*>.<*> <*>.<*> <*>.<*> <*>.<*> <*>.<*> <*>.<*> <*>.<*> <*>.<*> <*>.<*>,4
fa882eca,"startBackNavigation currentTask=Task{<*> #<*> type=standard A=<*>:<*>}, topRunningActivity=ActivityRecord{<*> u0 <*>/.Settings} t11}, callbackInfo=OnBackInvokedCallbackInfo{mCallback=<*>$Stub$Proxy@<*>, mPriority=-<*>}, currentFocus=Window{<*> u0 <*><*>.<*>}",1
8114b4df,cp_prepareCheckpoint called,1
3389dae3,*,309
d1b30fe3,"Key exists, using: <*>",1
81ce0d9f,Loaded dynamic color: <*> -> -<*>,4
21b580ff,[libfs_mgr]Running <*>.f2fs -a -c <*> --debug-cache <*>,1
de84eae6,keystore2::super_key: Read keystore.boot_level value <*>,2
4b3c86dc,coordinator.cc:<*>: InitHWVersion = <*>,1
0e8451e1,external_auto_focus_controller_proxy.cc:<*>: has_cdaf_early_interrupt_ = <*>,1
ddb1c136,* * * * * *,638
189a47c6,Missing ActivityManager; assuming <*> holds <*>,1
6c40939a,Registering <*> as apk-in-apex of <*>,21
c81dd0e8,switchUser | user: <*>,1
03ba464b,Registered <*>@<*>.<*>::IWifi<*>,1
57d701d5,Registered <*>@<*>.<*>::IWifiExt<*>,1
bd24201d,Registered <*>@<*>.<*>::IKeystore<*>,1
0183d239,removeSession | record: <*><*> (userId=<*>),1
9cb970bc,ART APEX version <*>,1
253de4ef,Factory APEXes mounted.,1
5a4bb9b1,Registered *,3
859205c1,dpm_bandwidth_manager.cc:<*>: dpm: WhiDpmClockBandwidthManager,1
f855e064,Creating instance with <*> threads,1
6e098ef2,Failed to parse <*>: Missing base APK in <*>,6
ecfd89a0,Skipping provider name <*> (in package <*>): name already used by <*>,2
f052552c,"No upgrade, skipping A<*> artifacts check.",1
3389dae3,*,2171
1b0ab0a8,"g3aa_driver.cc:<*>: Initializing the G3AA Driver. HW Revision: B0. BW Limiter [Enabled], cycles per slot: <*>, bytes per slot: <*>, bytes per window: <*>",1
6c5e32bd,"Invalid certificate, ignored: <*>: <*>$ParsingException: <*>$ParsingException: <*>: error:<*>:ASN.<*> encoding routines:OPENSSL_internal:WRONG_TAG",2
f097b9f3,"Setting new display group <*> for display <*>, from previous group: null",1
46dd915f,odrefresh said artifacts are VALID,1
8db811d5,"keystore2::super_key: keystore.boot_level <*> hits maximum <*>, finishing.",1
