LineId,Date,Time,Pid,Id,Content,EventId,EventTemplate
1,01-07,20:10:04.136,1000,ACQ,NetworkStats (partial),7a690d26,* (partial)
2,01-07,20:10:04.169,1000,REL,NetworkStats,3389dae3,*
3,01-07,20:10:06.793,1041,REL,AudioMix,3389dae3,*
4,01-07,20:10:06.804,1041,REL,AudioMix,3389dae3,*
5,01-07,20:10:06.808,1041,REL,AudioMix,3389dae3,*
6,01-07,20:10:14.864,1000,ACQ,NetworkStats (partial),7a690d26,* (partial)
7,01-07,20:10:14.902,1000,REL,NetworkStats,3389dae3,*
8,01-07,20:10:34.412,1000,ACQ,NetworkStats (partial),7a690d26,* (partial)
9,01-07,20:10:34.456,1000,REL,NetworkStats,3389dae3,*
10,01-07,20:11:00.005,1000,ACQ,*alarm* (partial),fc8c8dd6,*alarm* (partial)
11,01-07,20:11:00.007,1000,REL,*alarm*,14e9711f,*alarm*
12,01-07,20:11:04.658,1041,ACQ,AudioMix (partial),7a690d26,* (partial)
13,01-07,20:11:04.658,1041,ACQ,AudioMix (partial),7a690d26,* (partial)
14,01-07,20:11:04.659,1041,ACQ,AudioMix (partial),7a690d26,* (partial)
15,01-07,20:11:05.933,1000,ACQ,NetworkStats (partial),7a690d26,* (partial)
16,01-07,20:11:05.975,1000,REL,NetworkStats,3389dae3,*
17,01-07,20:11:07.657,1041,REL,AudioMix,3389dae3,*
18,01-07,20:11:07.661,1041,REL,AudioMix,3389dae3,*
19,01-07,20:11:07.663,1041,REL,AudioMix,3389dae3,*
20,01-07,20:11:10.297,1000,ACQ,NetworkStats (partial),7a690d26,* (partial)
21,01-07,20:11:10.355,1000,REL,NetworkStats,3389dae3,*
22,01-07,20:11:20.042,1000,ACQ,NetworkStats (partial),7a690d26,* (partial)
23,01-07,20:11:20.070,1000,REL,NetworkStats,3389dae3,*
24,01-07,20:11:20.216,1041,ACQ,AudioMix (partial),7a690d26,* (partial)
25,01-07,20:11:20.217,1041,ACQ,AudioMix (partial),7a690d26,* (partial)
