EventId,EventTemplate,Occurrences
295c14e1,boot args 0x*** 0x*** <*> <*>,3
892993e6,"gicc 0x***, gicd 0x***, gicr 0x***",3
43256461,"initializing trusty (Project: slider, Build: <*>, Built: <*>:<*>:<*> Mar <*> <*>)",3
0bdb6b24,Vold <*>.<*> (the awakening) firing up,1
c8660ed6,Detected support for: ext4 f2fs vfat,1
e6fab302,VoldNativeService::start() completed OK,1
a69bd9cd,hwkey_srv: <*>: commta<*>,1
e896e670,"int fs_init_from_super(struct fs *, const struct super_block *, fs_init_flags32_t):<*>: loaded super block version <*>",9
520bdc73,fscrypt_mount_metadata_encrypted: <*> encrypt: <*> format: <*> with null,1
b76f6155,"metadata_key_dir<*>: <*> <*>:<*>:<*>.<*> root <*> <*> D vold : Key exists, using: <*>",1
75adfc66,<*> <*> is <*>,19
d718a441,keystore2_main: Setting up sqlite logging for keystore2,1
48065ce4,"keystore2::metrics_store: In update_keystore_crash_sysprop: Failed to read the existing system property due to: In read_keystore_crash_count: Property not set..Therefore, keystore crashes will not be logged.",1
ad534300,keystore2_main: Starting thread pool now.,1
af63c4bd,keystore2::globals: KeyMint device is current version (Some(<*>)) for security level: SecurityLevel(<*>),2
1fbb6765,keystore2_main: Successfully registered Keystore <*>.<*> service.,1
c44267b6,keystore2_main: Joining thread pool now.,1
2ce30375,system_state_server: <*>: trusty=<*><*> prov=<*><*> app=<*><*> roll=<*><*>,3
18b6081c,Mounting metadata-encrypted filesystem:<*>,1
558b58fd,[libfs_mgr]Set readahead_kb: <*> on <*>,2
21b580ff,[libfs_mgr]Running <*>.f2fs -a -c <*> --debug-cache <*>,1
7909b13d,keystore2::shared_secret_negotiation: Shared secret negotiation concluded successfully.,1
7e101519,"keystore2::shared_secret_negotiation: StrongBox does not provide a challenge, so no RoT transfer: Status(-<*>, EX_SERVICE_SPECIFIC): '-<*>: '",1
9aec7c66,"[libfs_mgr]__mount(source=<*>,target=<*>,type=f2fs)=<*>: Success",1
43d9f872,Mounted <*>,1
8114b4df,cp_prepareCheckpoint called,1
7777675a,fscrypt_initialize_systemwide_keys,1
d1b30fe3,"Key exists, using: <*>",1
02f35c51,Installed fscrypt key with ref <*> to <*>,4
4b6a0887,<*> fscrypt-provisioning key for <*> to session keyring,4
968bf09b,Wrote system DE key reference to:<*>,1
958efbc8,Generating wrapped storage key,1
d8e9aeec,Wrote per boot key reference to:<*>,1
80bdc70d,Initial API level of the device: <*>,1
30804054,<*>: true,1
f659beb4,isFsAvailable: true,2
3d88a0a0,IncFs_Features: v2,1
d23c2cb3,keystore2::maintenance: In early_boot_ended.,1
930eb947,keystore2::globals: Touching Keystore <*>.<*> database for this first time since boot.,1
3333047b,keystore2::globals: Calling cleanup leftovers.,1
ec5cd88d,keystore2::super_key: Starting boot level watcher.,1
de84eae6,keystore2::super_key: Read keystore.boot_level value <*>,2
568cd064,keystore2::maintenance: Call to earlyBootEnded succeeded for security level <*>,2
81ce0d9f,Loaded dynamic color: <*> -> -<*>,4
e49da974,Dynamically coloring boot animation. Sysprops loaded? <*>,1
c112c1a3,BootAnimationShownTiming start time: 3473ms,1
1f22cbe6,fscrypt_init_user0,1
a681a4db,Preparing: <*>,14
fcbb17f1,Installed de key for user <*>,1
2dcfc9d7,"fscrypt_prepare_user_storage for volume null, user <*>, serial <*>, flags <*>",2
2064d804,Verified that <*> has the encryption policy <*> v2 modes <*><*> flags <*>,9
ff52c40c,<*>,1362
0ee63cce,prepare,2
33c1b2cf,Detected support for FS_IOC_ADD_ENCRYPTION_KEY,1
c1172afe,Trying to retrieve existing <*> key...,2
9d6666b3,Verified public key signature.,1
b458c540,Initialized Keystore key.,1
4f0f17b9,Found and verified existing public key certificate: <*>.cert,1
9cb970bc,ART APEX version <*>,1
e4b9c003,Factory ART APEX mounted.,2
1a144d73,System properties are set to default values.,3
253de4ef,Factory APEXes mounted.,1
d05dbe24,<*>.info not found.,1
46dd915f,odrefresh said artifacts are VALID,1
28c0b9e9,On-device signing done.,1
8db811d5,"keystore2::super_key: keystore.boot_level <*> hits maximum <*>, finishing.",1
dcfe5d04,WirelessEventThread started,1
8542b05e,Registered <*>@<*>.<*>::IWirelessCharger<*>,1
c9012d5f,no DSU: No such file or directory,1
68036e01,Wifi Hal is booting up...,1
03ba464b,Registered <*>@<*>.<*>::IWifi<*>,1
57d701d5,Registered <*>@<*>.<*>::IWifiExt<*>,1
b220492a,installd firing up,1
f0a50c67,wificond is starting up...,1
bd24201d,Registered <*>@<*>.<*>::IKeystore<*>,1
