LineId,Date,Time,Pid,Id,Content,EventId,EventTemplate
1,01-09,20:13:35.808,1041,REL,AudioMix,3389dae3,*
2,01-09,20:13:37.752,1000,ACQ,*vibrator* (partial),7a690d26,* (partial)
3,01-09,20:13:37.787,1000,REL,*vibrator*,8398adf0,*vibrator*
4,01-09,20:13:37.847,1000,ACQ,*launch* (partial),6b25d8e6,*launch* (partial)
5,01-09,20:13:38.028,1000,ACQ,*job*/c.t.a/a.w.i.b.s.SystemJobService (partial),84aa741c,*job*/c.t.a/a.w.i.b.s.SystemJobService (partial)
6,01-09,20:13:38.067,1000,REL,*job*/c.t.a/a.w.i.b.s.SystemJobService,c34b559d,*job*/c.t.a/a.w.i.b.s.SystemJobService
7,01-09,20:13:38.074,1000,REL,*launch*,10feb835,*launch*
8,01-09,20:13:38.657,1041,ACQ,AudioMix (partial),7a690d26,* (partial)
9,01-09,20:13:41.660,1041,REL,AudioMix,3389dae3,*
10,01-09,20:13:43.096,10182,ACQ,Icing (partial),b6580e92,Icing (partial)
11,01-09,20:13:43.116,10182,REL,Icing,69535586,Icing
12,01-09,20:13:45.223,1000,ACQ,*job*/c.t.a/a.w.i.b.s.SystemJobService (partial),84aa741c,*job*/c.t.a/a.w.i.b.s.SystemJobService (partial)
13,01-09,20:13:45.224,1000,ACQ,*job*/c.t.a/a.w.i.b.s.SystemJobService (partial),84aa741c,*job*/c.t.a/a.w.i.b.s.SystemJobService (partial)
14,01-09,20:13:45.224,1000,REL,*job*/c.t.a/a.w.i.b.s.SystemJobService,c34b559d,*job*/c.t.a/a.w.i.b.s.SystemJobService
15,01-09,20:13:45.261,1000,REL,*job*/c.t.a/a.w.i.b.s.SystemJobService,c34b559d,*job*/c.t.a/a.w.i.b.s.SystemJobService
16,01-09,20:13:48.828,1000,REL,*job*/c.w/a.w.i.b.s.SystemJobService,5f7c5ff9,*job*/c.w/a.w.i.b.s.SystemJobService
17,01-09,20:13:49.223,1041,ACQ,AudioMix (partial),7a690d26,* (partial)
18,01-09,20:13:49.223,1041,ACQ,AudioMix (partial),7a690d26,* (partial)
19,01-09,20:13:49.223,1041,ACQ,AudioMix (partial),7a690d26,* (partial)
20,01-09,20:13:49.224,1041,ACQ,AudioMix (partial),7a690d26,* (partial)
21,01-09,20:13:49.235,1041,REL,AudioMix,3389dae3,*
22,01-09,20:13:49.235,1041,ACQ,AudioMix (partial),7a690d26,* (partial)
23,01-09,20:13:49.290,1000,ACQ,*job*/c.t.a/a.w.i.b.s.SystemJobService (partial),84aa741c,*job*/c.t.a/a.w.i.b.s.SystemJobService (partial)
24,01-09,20:13:49.292,1000,REL,*job*/c.t.a/a.w.i.b.s.SystemJobService,c34b559d,*job*/c.t.a/a.w.i.b.s.SystemJobService
25,01-09,20:13:49.295,1000,ACQ,*job*/c.t.a/a.w.i.b.s.SystemJobService (partial),84aa741c,*job*/c.t.a/a.w.i.b.s.SystemJobService (partial)
26,01-09,20:13:49.340,1000,REL,*job*/c.t.a/a.w.i.b.s.SystemJobService,c34b559d,*job*/c.t.a/a.w.i.b.s.SystemJobService
27,01-09,20:13:49.387,1041,REL,AudioMix,3389dae3,*
28,01-09,20:13:49.387,1041,ACQ,AudioMix (partial),7a690d26,* (partial)
29,01-09,20:13:49.759,1041,REL,AudioMix,3389dae3,*
30,01-09,20:13:49.759,1041,ACQ,AudioMix (partial),7a690d26,* (partial)
31,01-09,20:13:50.119,1000,ACQ,NetworkStats (partial),366802df,NetworkStats (partial)
32,01-09,20:13:50.171,1000,REL,NetworkStats,bd108789,NetworkStats
33,01-09,20:13:52.228,1041,REL,AudioMix,3389dae3,*
34,01-09,20:13:52.230,1041,REL,AudioMix,3389dae3,*
35,01-09,20:13:52.232,1041,REL,AudioMix,3389dae3,*
36,01-09,20:14:00.001,1000,ACQ,*alarm* (partial),fc8c8dd6,*alarm* (partial)
37,01-09,20:14:00.003,1000,REL,*alarm*,14e9711f,*alarm*
38,01-09,20:14:13.282,1001,ACQ,RILJ_ACK_WL (partial),7f37ac5e,RILJ_ACK_WL (partial)
39,01-09,20:14:13.285,1001,ACQ,*telephony-radio* (partial),d5968584,*telephony-radio* (partial)
