EventId,EventTemplate,Occurrences
3d4b6ff6,"Fatal signal <*> (SIGABRT), code -<*> (SI_QUEUE) in tid <*> (init), pid <*> (init)",3
0f92fa14,"crash_dump helper failed to exec, or was killed",5
120cbb1f,getPreferredLaunchDisplay userset_displayid false current displayId -<*>,42
b503feb1,Tried to set launchTime (<*>) < mLastActivityLaunchTime (<*>),14
7e21f21e,Changing focus of displayId=<*> to <*> <*> <*> <*> <*>,76
99448f3d,"MotoDisplayed <*><*>.<*>,wp,ca,<*>",11
07abcddd,SURFACE SHOW Surface(name=<*><*>.<*>)/@<*> on display:<*>,58
93faa86e,SURFACE hide Surface(name=<*><*>.<*>)/@<*> on display:<*>,57
4165d403,"Display device changed: DisplayDeviceInfo{""Tela integrada"": uniqueId=""local:<*>"", <*> x <*>, modeId <*>, defaultModeId <*>, supportedModes [{id=<*>, width=<*>, height=<*>, fps=<*>.<*>, alternativeRefreshRates=[<*>.<*>]}, {id=<*>, width=<*>, height=<*>, fps=<*>.<*>, alternativeRefreshRates=[<*>.<*>]}], supportedReadyForModes [], colorMode <*>, supportedColorModes [<*>, <*>], hdrCapabilities HdrCapabilities{mSupportedHdrTypes=[<*>, <*>], mMaxLuminance=<*>.<*>, mMaxAverageLuminance=<*>.<*>, mMinLuminance=<*>.<*>}, allmSupported false, gameContentTypeSupported false, density <*>, <*>.<*> x <*>.<*> dpi, appVsyncOff <*>, presDeadline <*>, cutout DisplayCutout{insets=Rect(<*>, <*> - <*>, <*>) waterfall=Insets{left=<*>, top=<*>, right=<*>, bottom=<*>} boundingRect={Bounds=[Rect(<*>, <*> - <*>, <*>), Rect(<*>, <*> - <*>, <*>), Rect(<*>, <*> - <*>, <*>), Rect(<*>, <*> - <*>, <*>)]} cutoutPathParserInfo={CutoutPathParserInfo{displayWidth=<*> displayHeight=<*> density={<*>.<*>} cutoutSpec={M -<*>,<*> L -<*>,<*> L <*>,<*> L <*>,<*> Z} rotation={<*>} scale={<*>.<*>}}}}, touch INTERNAL, rotation <*>, type INTERNAL, address {port=<*>, model=<*>}, deviceProductInfo DeviceProductInfo{name=, manufacturerPnpId=QCM, productId=<*>, modelYear=null, manufactureDate=ManufactureDate{week=<*>, year=<*>}, connectionToSinkType=<*>}, state <*> frameRateOverride , brightnessMinimum <*>.<*>, brightnessMaximum <*>.<*>, brightnessDefault <*>.<*>, roundedCorners RoundedCorners{[RoundedCorner{position=TopLeft, radius=<*>, center=Point(<*>, <*>)}, RoundedCorner{position=TopRight, radius=<*>, center=Point(<*>, <*>)}, RoundedCorner{position=BottomRight, radius=<*>, center=Point(<*>, <*>)}, RoundedCorner{position=BottomLeft, radius=<*>, center=Point(<*>, <*>)}]}, FLAG_DEFAULT_DISPLAY, FLAG_ROTATES_WITH_CONTENT, FLAG_SECURE, FLAG_SUPPORTS_PROTECTED_BUFFERS}",606
f1b23b2c,User[<*>] Flushing usage stats to disk,7
dfac4d44,"canAuthenticate: User=<*>, Caller=<*>, Authenticators=<*>",137
d270553e,Package: <*> Sensor ID: <*> Modality: <*> Status: <*>,274
87d835bf,getCanAuthenticateInternal Modality: <*> AuthenticatorStatus: <*>,137
a90080bd,"canAuthenticate, userId: <*>, callingUserId: <*>, authenticators: <*>, result: <*>",137
559ce3ac,"uevent={POWER_SUPPLY_DP_DM=<*>, POWER_SUPPLY_VOLTAGE_QNOVO=-<*>, POWER_SUPPLY_VOLTAGE_NOW=<*>, POWER_SUPPLY_SW_JEITA_ENABLED=<*>, POWER_SUPPLY_FORCE_RECHARGE=<*>, POWER_SUPPLY_CHARGE_CONTROL_LIMIT_MAX=<*>, POWER_SUPPLY_RECHARGE_SOC=<*>, POWER_SUPPLY_HEALTH=Good, POWER_SUPPLY_TECHNOLOGY=Li-ion, POWER_SUPPLY_CHARGER_TEMP_MAX=<*>, POWER_SUPPLY_CHARGE_FULL_DESIGN=<*>, POWER_SUPPLY_FCC_STEPPER_ENABLE=<*>, SEQNUM=<*>, POWER_SUPPLY_INPUT_CURRENT_LIMITED=<*>, POWER_SUPPLY_CHARGE_CONTROL_LIMIT=<*>, POWER_SUPPLY_STATUS=Discharging, POWER_SUPPLY_CYCLE_COUNT=<*>, POWER_SUPPLY_BATTERY_CHARGING_ENABLED=<*>, POWER_SUPPLY_CURRENT_MAX=<*>, POWER_SUPPLY_CHARGE_TERM_CURRENT=-<*>, POWER_SUPPLY_CAPACITY=<*>, DEVPATH=<*>.qcom,spmi<*>.qcom,spmi:qcom,pmi632@<*>:qcom,qpnp-smb5<*>, POWER_SUPPLY_CHARGE_DONE=<*>, POWER_SUPPLY_CHARGE_TYPE=N<*>, POWER_SUPPLY_CHARGE_RATE=None, POWER_SUPPLY_CURRENT_QNOVO=-<*>, POWER_SUPPLY_CURRENT_NOW=-<*>, POWER_SUPPLY_SYSTEM_TEMP_LEVEL=<*>, POWER_SUPPLY_PRESENT=<*>, POWER_SUPPLY_PARALLEL_DISABLE=<*>, POWER_SUPPLY_CHARGE_FULL=<*>, POWER_SUPPLY_TIME_TO_FULL_NOW=-<*>, POWER_SUPPLY_CONSTANT_CHARGE_CURRENT=<*>, SUBSYSTEM=power_supply, POWER_SUPPLY_SET_SHIP_MODE=<*>, POWER_SUPPLY_TEMP=<*>, ACTION=change, POWER_SUPPLY_RERUN_AICL=<*>, POWER_SUPPLY_AGE=<*>, POWER_SUPPLY_NAME=battery, POWER_SUPPLY_VOLTAGE_MAX=-<*>, POWER_SUPPLY_CONSTANT_CHARGE_CURRENT_MAX=<*>, POWER_SUPPLY_CHARGE_COUNTER=<*>, POWER_SUPPLY_STEP_CHARGING_ENABLED=<*>, POWER_SUPPLY_NUM_SYSTEM_TEMP_LEVELS=<*>, POWER_SUPPLY_DIE_HEALTH=Unknown, POWER_SUPPLY_INPUT_SUSPEND=<*>}",386
c9e22b01,Failed to read cpu-freq stats for CPUs <*><*>,140
194bd27f,"Negative delta from active time for uid: <*>, delta: -<*>",69
8d34a05a,SURFACE SHOW <*> on display:<*>,48
01de7867,SURFACE destroy <*> on display:<*>,27
d01cb5c3,START u0 {dat=aweme:/<*>/ pkg=<*> cmp=<*><*>.<*> (has extras)} from uid <*>,2
c8d201a8,"reply too large data on java level: InterfaceDescriptor = null, code = <*>",11
a7aab70a,Slow dispatch took <*> <*> <*> <*> m=<*>,21
cb6eebac,Noting op not finished: uid <*> pkg <*> code <*> startTime of in progress event=<*>,35
a62f78b7,Killing <*>:<*>:aab<*> (adj <*>): empty for <*>,2
0324a572,Killing <*>:<*>:instant_app_installer<*> (adj <*>): empty for 1831s,1
f464c149,START u0 {cmp=<*><*>.<*> (has extras)} from uid <*>,2
1f87d0cd,SOFT_INPUT_STATE_VISIBLE is ignored because there is no focused view that also returns true from View#onCheckIsTextEditor(),1
05222fc2,Deleting file 1704580918274tl,1
a7d57938,Deleting file 1704580568112tl,1
157e4bf7,Killing <*>:com.zzkko:push<*> (adj <*>): empty for <*>,2
2accc00d,Killing <*>:<*><*> (adj <*>): empty for <*>,14
ef822f03,Deleting file 1704581818478tl,1
708a3795,Alarms must either supply a PendingIntent or an AlarmReceiver,13
59710913,Compat change id reported: <*>; UID <*>; state: <*>,737
39e9a9d3,Start proc <*>:<*><*> for <*> {<*><*>.<*>},46
48f0cac0,No listener is left,3
7161b3e7,Killing <*>:com.whatsapp<*> (adj <*>): empty for 2067s,1
3b049651,Attempted to add notif for locked<*> user <*>,13
9c30fc16,START u0 {dat=aweme:/<*> pkg=<*> cmp=<*><*>.<*> (has extras)} from uid <*>,1
6ad2e57b,Brightness [<*>.<*>] reason changing to: <*> <*> <*> <*> <*> <*> <*>,6
ce3650a2,"Powering off display group due to <*> (groupId= <*>, uid= <*>)...",3
447e975b,Going to sleep due to <*> (uid <*>)...,3
caa33ffb,"setInteractive false, called by = <*>",8
7b0f9c09,Started going to sleep... <*>,3
25d024c8,Stopping service due to app idle: <*> <*> <*><*>.<*>,16
878d5f45,isEncrypted: false isLockdown: false,3
7df44c57,"[<*>] {[<*>] FingerprintUpdateActiveUserClient, proto=<*>, owner=android, cookie=<*>, userId=<*>}, new queue size: <*>",3
d794a1ba,"[Polled] {[<*>] FingerprintUpdateActiveUserClient, proto=<*>, owner=android, cookie=<*>, userId=<*>}, State: <*>",3
2ce37921,"[Starting] {[<*>] FingerprintUpdateActiveUserClient, proto=<*>, owner=android, cookie=<*>, userId=<*>}, State: <*>",3
5d1054b3,"[Started] {[<*>] FingerprintUpdateActiveUserClient, proto=<*>, owner=android, cookie=<*>, userId=<*>}",3
7a5acb7f,"Already user: <*>, returning",3
d8051980,"[<*>] {[<*>] FingerprintAuthenticationClient, proto=<*>, owner=<*>, cookie=<*>, userId=<*>}, new queue size: <*>",3
4832bab6,"Not idle, current operation: {[<*>] FingerprintUpdateActiveUserClient, proto=<*>, owner=android, cookie=<*>, userId=<*>}, State: <*>",3
40114617,"[Finishing] {[<*>] FingerprintUpdateActiveUserClient, proto=<*>, owner=android, cookie=<*>, userId=<*>}, success: true",3
526c9699,"[Polled] {[<*>] FingerprintAuthenticationClient, proto=<*>, owner=<*>, cookie=<*>, userId=<*>}, State: <*>",3
7cd9d62a,"Notifying gesture availability, <*>",6
8a1666f2,"[Starting] {[<*>] FingerprintAuthenticationClient, proto=<*>, owner=<*>, cookie=<*>, userId=<*>}, State: <*>",3
2503bcc3,"[Started] {[<*>] FingerprintAuthenticationClient, proto=<*>, owner=<*>, cookie=<*>, userId=<*>}",3
93e7e66b,"addAuthenticationClient(OtherFp), client: {[<*>] FingerprintAuthenticationClient, proto=<*>, owner=<*>, cookie=<*>, userId=<*>}",3
f0732ed3,"Fps state updated from <*> to <*>, client {[<*>] FingerprintAuthenticationClient, proto=<*>, owner=<*>, cookie=<*>, userId=<*>}",3
3df05222,Requesting auth for <*>,3
264000a7,Blocking screen off,8
6583ac5a,Unblocked screen off after <*> ms,8
204588c9,Display0 turned off...,8
7e6725c7,Top Process State changed to <*>,6
bb121333,SURFACE hide Surface(name=<*>)/@<*> on display:<*>,14
6832516c,Tracking association SourceState{<*> <*> BTopFgs #<*>} whose proc state <*> is better than process ProcessState{<*> <*> pkg=<*>} proc state <*> (<*> skipped),162
be7103eb,Brightness [<*>.<*>] reason changing to: <*> previous reason: <*>,27
5c1712e3,"Display device changed state: ""Tela integrada"", <*>",16
71bc2a7f,Entering dreamland.,3
5130da95,Dozing...,3
6f07c1e9,"Starting dream: name=ComponentInfo{<*><*>.<*>}, isTest=false, canDoze=true, userId=<*>",3
ba9121ea,Finished going to sleep... <*>,3
d8974074,Changing focus of displayId=<*> to Window{<*> u0 <*> from Window{<*> u0 <*>,23
bde04bbe,"Receiver with filter <*>@<*> already registered for pid <*>, callerPackage is <*>",8
1eee3a89,Enabling component <*>/.notification.DisplayNotifListenerService,3
d966ae91,binding: Intent { act=<*> cmp=<*>/.notification.DisplayNotifListenerService (has extras) },3
cf116934,<*> notification listener service connected: ComponentInfo{<*><*>.<*>},3
93420e9a,Start proc <*>:<*><*> for content provider {<*><*>.<*>},26
065a430d,The first listener is <*>,3
75e30f91,Calling Update secure attr with <*> value = <*>,6
cdb4b80f,Actually updating secure attr with <*>,6
35147b4f,Set USB secure = <*> by <*>,6
