EventId,EventTemplate,Occurrences
0bdb6b24,Vold <*>.<*> (the awakening) firing up,1
c8660ed6,Detected support for: ext4 f2fs vfat,1
2c484a27,VolumeBase::create()++,2
3eda2fab,VolumeBase::create()--,2
fd21175d,EpmLog::EpmLog,1
2b8b2665,EnterprisePartitionManager created,1
2db6ebc1,fstab record: system <*> ext4,1
69917048,fstab record: vendor <*> ext4,1
92e8af21,fstab record: product <*> ext4,1
866e885d,fstab record: odm <*> ext4,1
a42518f8,fstab record: <*> <*> <*>,41
e6fab302,VoldNativeService::start() completed OK,1
d0c68842,handleBlockEvent with action=<*> major=<*> minor=<*> eventPath=<*>:<*><*>,7
85dda418,NL param 'DEVPATH=<*>:<*><*>',7
89577e5c,NL param 'SYNTH_UUID=<*>',7
d1fac607,NL param 'MAJOR=<*>',7
c8aed40d,NL param 'MINOR=<*>',7
437a2bdb,NL param 'DEVNAME=mmcblk0',1
8e5c8544,NL param 'DEVTYPE=disk',7
2dc89db9,NL param 'DEVNAME=mmcblk0boot0',2
a0cca6d3,NL param 'DEVNAME=mmcblk0rpmb',2
c332668e,NL param 'DEVNAME=mmcblk0boot1',2
2768d357,"!@ device mmcblk0 (<*>,<*>) <*>",1
f647f588,!@ write <*> to <*>,1
65de1320,!@ Failed to write to <*> (No such file or directory),1
65aa3b6f,!@ cpu boost isn't need. (<*> node is not exist.),1
6edfeedf,"!@ <*>,<*> r <*> <*> w <*> <*> d <*> <*> f <*> <*> iot <*> <*> th <*> <*> <*> pt <*> inp <*> <*> <*>.<*>",978
520bdc73,fscrypt_mount_metadata_encrypted: <*> encrypt: <*> format: <*> with null,1
d9da6647,read_key,1
9b2963ce,metadata_key_dir<*>: <*>,1
4460d56f,read_key ++ dir : <*>,1
d139b9b6,retrieveKey : <*>,5
ab6f56fb,<*> !@ <*> <*> <*>,2
639187c3,keystore2_main: !@ Setting up sqlite logging for keystore2,1
48065ce4,"keystore2::metrics_store: In update_keystore_crash_sysprop: Failed to read the existing system property due to: In read_keystore_crash_count: Property not set..Therefore, keystore crashes will not be logged.",1
36ee2e69,keystore2_main: !@ Starting thread pool now.,1
42abca25,keystore2::globals: Add emulation wrapper around Keymaster device for security level: SecurityLevel(<*>),1
7909b13d,keystore2::shared_secret_negotiation: Shared secret negotiation concluded successfully.,1
5f354e8f,"keystore2::shared_secret_negotiation: No StrongBox Keymint available, so no RoT transfer",1
30edcbd0,keystore2_main: !@ Not publishing IRemotelyProvisionedKeyPool service: In new_native_binder: Failed to get TEE Remote Provisioner instance.,1
0e4c901c,Caused by:,4
2da9350d,<*>: In get_remotely_provisioned_component.,1
16e545d3,<*>: In connect_remotely_provisioned_component.,1
188644a1,<*>: Error::Km(ErrorCode(-<*>)),3
7249fa16,!@ convertKeyParametersToLegacy : KM_TAG_SAMSUNG_ROT_REQUIRED = <*>,1
20f93d94,samsung_attestation: Successfully started Samsung Keystore service.,1
83016e14,keystore2_main: !@ Successfully registered Keystore <*>.<*> service.,1
f701595c,keystore2_main: !@ Joining thread pool now.,1
c44697d7,"keystore2::security_level: In create_operation. Success to create IKeystoreOperation. <*>, None",298
c6111243,getRotStr rot value : <*>,1
4af2d51d,retrieveKey success : <*>,5
be88052f,create_crypto_blk_dev,1
2dae9285,create_crypto_blk_dev ++,1
42d3850f,create_crypto_blk_dev --,1
18b6081c,Mounting metadata-encrypted filesystem:<*>,1
f8cd13d1,Mounting metadata-encrypted filesystem : <*>,1
31915ac3,fs_mgr_do_mount ++,1
21b580ff,[libfs_mgr]Running <*>.f2fs -a -c <*> --debug-cache <*>,1
84ccc086,!@ DiskUsage: <*> <*>.<*> % used (<*> MB/ <*> MB),1
9aec7c66,"[libfs_mgr]__mount(source=<*>,target=<*>,type=f2fs)=<*>: Success",1
00c1ca98,"[libfs_mgr]__mount return <*>(source=dm<*>,target=<*>,type=f2fs,flags=<*>,options=discard,usrquota,grpquota,fsync_mode=nobarrier,reserve_root=<*>,resgid=<*>,inlinecrypt): Success",1
5e0de99d,[libfs_mgr]restorecon_sec_sysfsERROR readlink :<*>,1
834443b7,[libfs_mgr]bootc_offset_sec_sysfs setting bootc_offset to <*> secs for fsck,1
71312809,fs_mgr_do_mount --,1
43d9f872,Mounted <*>,1
ab4e7334,Mounted,1
6ac61219,fscrypt_mount_metadata_encrypted ---,1
8114b4df,cp_prepareCheckpoint called,1
e924ae02,fbeEnable,1
3626c7a1,fscrypt_initialize_systemwide_keys....,1
d1b30fe3,"Key exists, using: <*>",1
4b857da7,"fscrypt_initialize_systemwide_keys, install_storage_key DATA_MNT_POINT",1
02f35c51,Installed fscrypt key with ref <*> to <*>,4
4b6a0887,<*> fscrypt-provisioning key for <*> to session keyring,4
265bd319,"key mode: aes<*>-xts:aes<*>-cts:v2, file name: <*>",1
58e37fd5,ref_filename: <*>,1
443c7024,Wrote system DE key reference to: <*>,1
6ff4fefb,Generating standard storage key,1
4bb78d38,Wrote per boot key reference to: <*>,1
48629c1d,"PROP : <*> : , value K00R",2
80bdc70d,Initial API level of the device: <*>,1
7b00595d,<*>: yes,1
f659beb4,isFsAvailable: true,2
3d88a0a0,IncFs_Features: v2,1
d23c2cb3,keystore2::maintenance: In early_boot_ended.,1
930eb947,keystore2::globals: Touching Keystore <*>.<*> database for this first time since boot.,1
3333047b,keystore2::globals: Calling cleanup leftovers.,1
ec5cd88d,keystore2::super_key: Starting boot level watcher.,1
54c2b099,keystore2::maintenance: Call to earlyBootEnded succeeded for security level TRUSTED_ENVIRONMENT.,1
de84eae6,keystore2::super_key: Read keystore.boot_level value <*>,2
95f67168,"keystore2::boot_level_keys: In level_accessible: (<*>, <*>), valid: true",6
503c62a8,keystore2::maintenance: Call to earlyBootEnded failed for security level STRONGBOX: In call_with_watchdog: getting keymint device.,1
e13d4746,keystore2::error: In call_with_watchdog: getting keymint device,1
4fa86503,<*>: In get_keymint_device.,1
0c6747e0,<*>: In connect_keymint: Trying to get Legacy wrapper.,1
99eb1596,keystore2 Keystore earlyBootEnded returned service specific error: -<*>,1
44893002,initUser0,1
1f22cbe6,fscrypt_init_user0,1
a681a4db,Preparing: <*>,16
21d5e656,load_all_de_keys,1
fcbb17f1,Installed de key for user <*>,1
2dcfc9d7,"fscrypt_prepare_user_storage for volume null, user <*>, serial <*>, flags <*>",2
04391438,lookup_policy <*>,2
2064d804,Verified that <*> has the encryption policy <*> v2 modes <*><*> flags <*>,10
38d0b448,prepare_subdirs,2
ff52c40c,<*>,1070
0ee63cce,prepare,6
33c1b2cf,Detected support for FS_IOC_ADD_ENCRYPTION_KEY,1
c1172afe,Trying to retrieve existing <*> key...,2
9d6666b3,Verified public key signature.,1
b458c540,Initialized Keystore key.,1
4f0f17b9,Found and verified existing public key certificate: <*>.cert,1
9cb970bc,ART APEX version <*>,1
1a67157c,Updated ART APEX mounted,1
7057a16a,Checking boot images <*> <*>,2
c4a5b015,Boot images on <*> OK <*>,2
3b50bd04,system_server artifacts on <*> OK,1
7e7d4f99,Metrics report is empty,1
4473cb77,Failed to read <*>.txt: <*>,1
7f039020,<*>.info.signature matches.,1
97c8c15b,Loaded <*>.info,1
8db811d5,"keystore2::super_key: keystore.boot_level <*> hits maximum <*>, finishing.",1
a6c62d24,All root hashes match.,1
46dd915f,odrefresh said artifacts are VALID,1
28c0b9e9,On-device signing done.,1
c0608dba,Starting up,1
20260d6d,"Start at vold.decrypt: none, <*> : encrypted, <*> : file",1
4c816f71,SELinux: [audit_filter] parsing error. auditfilter fsck dm_device:blk_file ioctl <*>;,1
f5b08ba2,is skipped.,1
6c476dff,SELinux: [audit_filter] audit_filter_table is created successfully. filter table line count = <*> / rule count(atomic) = <*>,1
3e192449,"Previous audit logfile detected, rotating",1
b132f340,"[boot_logo_updater main <*>]boot_logo_updater,",1
71743917,[boot_logo_updater]fail to open: <*>,1
d35ec456,"[boot_logo_updater]update boot reason = <*>, ret = <*>",1
c9012d5f,no DSU: No such file or directory,1
d3ff0c25,ISehWifi Hal is booting up...,1
93351963,Registered <*>@<*>.<*>::ISehWifi<*>,1
b220492a,installd firing up,1
f0a50c67,wificond is starting up...,1
bd24201d,Registered <*>@<*>.<*>::IKeystore<*>,1
e359d957,!@ MemInfo(KB): total <*> free <*> avail <*> actv(f) <*> inactv(f) <*> dirty <*> wb <*> anonpg <*> slab <*>,19
cc5dc2fe,"Unable to get AIDL health service, trying HIDL...",1
56a2fef9,PostZygoteInitGC took to complete: <*>,2
2c946d7e,ZygoteInit took to complete: <*>,2
0312f887,BeginPreload took to complete: <*>,2
c5058372,PreloadClasses took to complete: <*>,2
130a9ca3,CacheNonBootClasspathClassLoaders took to complete: <*>,2
402fd10a,PreloadResources took to complete: <*>,2
5aa59cf0,ZygotePreload took to complete: 1163ms,1
8eb3186b,InitBeforeStartServices,1
a61fdbb3,!@Boot_EBS_F: SYSTEM_SERVER_START,1
a9bf5696,Entered the Android system server!,1
93ea326b,!@Boot: Entered the Android system server!,1
51a88671,!@Boot_EBS_F: BOOT_PROGRESS_SYSTEM_RUN,1
f855e064,Creating instance with <*> threads,1
b3fa7be0,InitBeforeStartServices took to complete: 849ms,1
19f7259f,!@Boot_SystemServer: <*> : <*>,26
d2bef49a,!@Boot_EBS: Took <*> by <*>,26
829e7cae,StartServices,1
bc8c5b06,!@Boot_EBS_F: startBootstrapServices,1
2240dcb4,startBootstrapServices,1
da9e405c,StartWatchdog,1
0dd61924,StartWatchdog took to complete: 97ms,1
05b3ece4,Reading configuration...,1
9abde539,ReadingSystemConfig,1
4333cda5,ReadingSystemConfig took to complete: 0ms,1
bdc6107e,PlatformCompat,1
81d1a52b,InitThreadPoolExec:ReadingSystemConfig,1
b954dc53,Found a config file: <*>,13
eea3f0de,Reading permissions from <*>,661
0e9eb0f9,Adding: <*>@<*>,179
428cea36,Binder proc file not exist.,89
88da09f9,!@Sync: <*> heap: <*> / <*> FD: <*> [<*><*><*> <*>:<*>:<*>.<*>],85
0289d79f,Adding association: <*> <- <*>,98
8162a502,"No directory <*>, skipping",7
f795300e,getActiveApexInfos_noCache,1
961d647b,Ignore shared library <*> <*>.jar does not exist,6
f0514ac5,getActiveApexInfos_noCache took to complete: 16ms,1
43fa9037,"No directory <*>.android.neuralnetworks<*>, skipping",1
c1689c91,"No directory <*>.<*><*>, skipping",13
f4d4f49b,"No directory <*>.android.adservices<*>, skipping",1
c6aec4a2,"No directory <*>.android.conscrypt<*>, skipping",1
21b8fdcf,"No directory <*>.android.uwb<*>, skipping",1
08a1c304,No directory <*> skipping,14
53623dd0,PlatformCompat took to complete: 67ms,1
eec4b40b,StartFileIntegrityService,1
0a902b2f,Starting <*>,110
68f2bf38,StartFileIntegrityService took to complete: 4ms,1
40073c89,StartInstaller,1
b2151afc,StartInstaller took to complete: 7ms,1
6130a8f7,DeviceIdentifiersPolicyService,1
46d62c05,DeviceIdentifiersPolicyService took to complete: 2ms,1
78f170f7,UriGrantsManagerService,1
bf503c82,Starting <*>$Lifecycle,46
f95ec15d,UriGrantsManagerService took to complete: 2ms,1
07bcc76a,StartPowerStatsService,1
61a14bdb,StartPowerStatsService took to complete: 6ms,1
5638a21d,StartIStatsService,1
edd2b413,StartIStatsService took to complete: 3ms,1
0b4a485c,MemtrackProxyService,1
dee949fb,MemtrackProxyService took to complete: 4ms,1
4168fac5,StartActivityManager,1
ad2cfe8d,CoreStateController(),2
ef13042d,Memory class: <*>,1
45d81d28,"Setting heavy hitter watcher config: false, <*>, <*>.<*>",1
7d1a906f,Tag system-user-whitelisted-app is unknown in <*>.xml at START_TAG (empty) <system-user-whitelisted-app package='<*>'>@<*>:<*> in <*>@<*>,2
77cb2a9a,Reading aerProductName from <*>.xml,2
44edfdd5,fname = o1stur,2
d4a5c250,<*> = a22ub,652
7f4a0d16,fname = o1sxtur,2
ff505b90,fname = o1sxser,2
163c9dc4,fname = o1sxx,2
0c65ef0e,fname = o1sxxx,2
417df386,fname = o1sxeea,2
9babc95e,fname = o1sksx,2
06133603,fname = o1sser,2
a62d5e98,fname = o1qcsx,2
1129eff4,fname = o1quew,2
97d2e033,fname = o1qzhx,2
34f57698,fname = o1qsqw,2
9fc73264,fname = SC-51B,2
f66f2823,fname = SCG09_jp_kdi,2
a6a33eac,fname = t2sksx,2
8f6e39d7,fname = t2sxxx,2
95cf48b8,fname = t2sxser,2
3ec8eb2c,fname = t2sxeea,2
244c2cf5,fname = t2sxtur,2
ff351f25,fname = t2qzhx,2
2f9606eb,fname = t2qsqw,2
55ada566,fname = t2qcsx,2
54aed0cf,fname = t2quew,2
00fbb339,fname = SCG10_jp_kdi,2
944b9e4d,fname = p3sksx,2
ca7ff648,fname = p3sxeea,2
d77fc480,fname = p3sxtur,2
09d66268,fname = p3sxser,2
3d988fae,fname = p3sxxx,2
ca902137,fname = p3qcsx,2
518daae6,fname = p3qsqw,2
95f74405,fname = p3quew,2
2f8a2757,fname = p3qzhx,2
68c9ec6d,fname = SC-52B,2
8f7b4f1c,fname = r9sxtur,2
86563e76,fname = r9sxxx,2
c086001d,fname = r9qksx,2
d15c8411,fname = r9qxeea,2
597c4c97,fname = r9qxtur,2
d2f3aa6d,fname = r9qxser,2
756967c7,fname = r9qzh,2
f8591505,fname = r9quew,4
20f60a10,fname = r9qxxx,2
eb0cd54f,fname = r9qcsx,2
f566fcd8,fname = r9qsqw,2
d61c8109,fname = r9q2xxx,2
afa3aace,fname = r9q2xeea,2
664e95a7,fname = r9q2xser,2
c34d07c7,fname = r9q2sqw,2
e258d36f,fname = r9q2uew,2
89b5b494,fname = gts7fewifixx,2
98b6170c,fname = gts7fewifitur,2
3daf2a03,fname = gts7fewifieea,2
1c55eb07,fname = gts7fewifiser,2
70a528f4,fname = gts7xllitexx,2
1d44043d,fname = gts7xlliteser,2
b1caab09,fname = gts7xllitexeea,2
60499166,fname = gts7xllitekx,2
945d5053,fname = gts7xllitetur,2
54e0ad1b,fname = gts7xllitekxx,2
cbd35e77,fname = gts7xllitesqwnc,2
277bc9dc,fname = gts7xllitexxx,2
ee4d0343,fname = gts7xllitesqw,2
88d4816a,fname = gts7xllitewifieea,2
a355a18b,fname = gts7xllitewifixx,2
c17f14f9,fname = gts7xllitewifitur,2
982fc0d6,fname = gts7xllitewifiser,2
ea87dafa,fname = q2qsqw,2
e86f4727,fname = q2qxxx,2
4154ffe1,fname = q2qcsx,2
64d50d88,fname = q2qzhx,2
40c086f5,fname = q2qksx,2
875c7b0f,fname = q2qxtur,2
0e0eabfa,fname = q2qxser,2
31431c3b,fname = q2qxeea,2
d13719de,fname = q2quew,2
ec18a0e9,fname = SC-55B,2
27ebd3eb,fname = SCG11_jp_kdi,2
4eb9414a,fname = b2quew,2
05fec000,fname = b2qxxx,2
20552610,fname = b2qcsx,2
11999870,fname = b2qsqw,2
03a4a823,fname = b2qzhx,2
9a1831d6,fname = b2qxser,2
bcc2ebb2,fname = b2qxtur,2
f10a5ae9,fname = b2qxeea,2
23b8367d,fname = b2qksx,2
ed0b63ab,fname = SC-54B,2
9d65ba71,fname = SCG12_jp_kdi,2
addcc38d,fname = q4qsqw,2
8eff76e9,fname = q4qzhx,2
ae5a5c6c,fname = q4qksx,2
1eab5cb8,fname = q4quew,2
5bc74808,fname = q4qcsx,2
52f9a619,fname = q4qxser,2
d62ec173,fname = q4qxtur,2
97c9785d,fname = q4qxxx,2
9b1501e9,fname = q4qxeea,2
f487e5f6,fname = SC-55C,2
78ed1445,fname = SCG16_jp_kdi,2
91ae940d,fname = b4qsqw,2
5cc14cc7,fname = b4qzhx,2
2f91bcc7,fname = b4qxeea,2
0208459e,fname = b4qksx,2
28c6a367,fname = b4quew,2
36c75243,fname = b4qrktw,2
060636b1,fname = b4qcsx,2
7f4062f5,fname = b4qxser,2
e3f5a61d,fname = b4qxtur,2
5ae5a32c,fname = b4qxxx,2
db77730e,fname = SC-54C,2
e6e941ef,fname = SCG17_jp_kdi,2
1878f94b,fname = a52qnstur,2
4a682f0d,fname = a52qnseea,2
902c074a,fname = a52qnsxx,2
f95b34a0,fname = a52qnsser,2
8a5ef047,fname = a52qub,2
ddd7cecb,fname = a52xque,2
bcd13141,fname = a52xqcs,2
7caeb0cf,fname = a52xqnaeea,2
3e5e4121,fname = a52xqsq,2
65a9ddb3,fname = a52xqzh,2
1971727e,fname = a52xqks,2
2e1ad89c,fname = a52xqnaxx,2
b5765bcd,fname = SC-53B,2
7fca1886,fname = a52sxqeea,2
680af16f,fname = a52sxqtur,2
4ff43cf3,fname = a52sxqser,2
541e4344,fname = a52sxqzt,2
16a3778b,fname = a52sxqxx,2
13245e3c,fname = a52sxqks,2
75165e2a,fname = b0sxser,2
c0456530,fname = b0sxtur,2
84211061,fname = b0sxxx,2
eff32d36,fname = b0sxeea,2
edd99365,fname = b0sksx,2
f689cb3a,fname = b0qksx,2
88a533eb,fname = b0quew,2
04f7bb2a,fname = b0qcsx,2
61991d22,fname = b0qxxx,2
87137751,fname = b0qsqw,2
c08804ba,fname = b0qzhx,2
720474fe,fname = b0qxtur,2
42ad5ca5,fname = SC-52C,2
3bcd5ea7,fname = SCG14_jp_kdi,2
f90b4b3e,fname = r0sxxx,2
89732e6c,fname = r0sxeea,2
a540ab86,fname = r0sxtur,2
125b3555,fname = r0sxser,2
a1add1be,fname = r0sksx,2
0a0d2842,fname = r0qksx,2
1d074840,fname = r0qxtur,2
39e19ca0,fname = r0qcsx,2
3e5ec55a,fname = r0qzhx,2
7e7574cd,fname = r0quew,2
78360199,fname = r0qsqw,2
62eafcf1,fname = r0qxxx,2
7efd5255,fname = SC-51C,2
4c191da1,fname = SCG13_jp_kdi,2
963864e1,fname = g0sxxx,2
bc315f44,fname = g0sxtur,2
62f37b44,fname = g0sxeea,2
fc6d5b4c,fname = g0sxser,2
53186c07,fname = g0sksx,2
1a243e8f,fname = g0qksx,2
c5645509,fname = g0quew,2
e7e0e54e,fname = g0qxtur,2
4b95c37c,fname = g0qcsx,2
a811e1d2,fname = g0qxxx,2
460ccb82,fname = g0qsqw,2
be33efc9,fname = g0qzhx,2
f8b29e08,fname = gts8kxx,2
621cc36c,fname = gts8keea,2
c58bb993,fname = gts8xser,2
f1fa9c77,fname = gts8xeea,2
f4abd9db,fname = gts8xxx,2
2e4812e2,fname = gts8sq,2
d8f10c71,fname = gts8wifiser,2
9789485c,fname = gts8wifitur,2
1300829f,fname = gts8wifixx,2
62bd6a7b,fname = gts8wifieea,2
a6c5cbce,fname = gts8pkxx,2
107f12ac,fname = gts8psqw,2
2e3fc4cc,fname = gts8peea,2
66451ebb,fname = gts8pxser,2
5e25a664,fname = gts8pxeea,2
5fd6c9cb,fname = gts8pxx,2
5f931c90,fname = gts8pxxx,2
7f4d5023,fname = gts8psqwnc,2
198e94c3,fname = gts8pwifitur,2
f51d82f4,fname = gts8pwifiser,2
45a253d2,fname = gts8pwifixx,2
623b28ba,fname = gts8pwifieea,2
5ecc7294,fname = gts8ukxx,2
43955c4f,fname = gts8uxser,2
89bc8c50,fname = gts8uxeea,2
e28ad661,fname = gts8uxxx,2
d5ab5146,fname = gts8uwifiser,2
d474c96d,fname = gts8uwifitur,2
0f8bdee0,fname = gts8uwifieea,2
d342ca1a,fname = gts8uwifixx,2
2d0b1660,fname = a33xnndxx,2
84e44907,fname = a33xnsdtur,2
2f0e43e5,fname = a33xnsdxx,2
4dcefd13,fname = a33xnndx,2
6be2987b,fname = a33xnsdx,2
31f3e231,fname = a33xub,2
447ff91f,fname = a33xks,2
0cf7e55d,fname = a33xzh,2
95910f05,fname = a33xnsser,2
825a1ec7,fname = a33xnsxx,2
3099fd3d,fname = a33xnseea,2
3cb4952d,fname = a53xtfn,2
