EventId,EventTemplate,Occurrences
bd108789,NetworkStats,109
d5968584,*telephony-radio* (partial),1026
4e4b905a,*telephony-radio*,1026
366802df,NetworkStats (partial),107
73f00906,prevent full-screen wakelock in EnqueueNotificationRunnable (partial),59
4efd45c9,NetworkTimeUpdateService (partial),1
62c78c5a,time_detector (partial),25
cd025981,time_detector,25
3f65bc0d,NetworkTimeUpdateService,1
1160256d,GCM_WORK (partial),55
bd8ac4d0,NlpWakeLock (partial),64
03b55498,NlpWakeLock,64
7aaf3312,GCM_CONN_ALARM (partial),1
b44ae528,GCM_WORK,55
932849aa,SyncLoopWakeLock (partial),25
f3598e67,SyncLoopWakeLock,25
64633af2,prevent full-screen wakelock in EnqueueNotificationRunnable,59
7f37ac5e,RILJ_ACK_WL (partial),187
0aca88b2,RILJ_ACK_WL,187
cde3fec8,GCM_READ (partial),55
3e9981ae,GCM_READ,55
c9f3220c,GCM_CONN_ALARM,1
c915d9d8,GOOGLE_C2DM (partial),35
4fd4578c,GOOGLE_C2DM,35
9cb62842,androidx.core:wake:com.instagram.android/com.instagram.notifications.push.fcm.FcmListenerService (partial),1
a6fb40ef,androidx.core:wake:com.instagram.android/com.instagram.notifications.push.fcm.FcmListenerService,1
fc8c8dd6,*alarm* (partial),42
14e9711f,*alarm*,42
33d03fa7,NitzSignalInputFilterPredicateFactory (partial),48
271722f9,NitzSignalInputFilterPredicateFactory,48
e3adca82,com.android.server.stats.StatsCompanionService$PullingAlarmListener (partial),13
967d95fb,com.android.server.stats.StatsCompanionService$PullingAlarmListener,13
f86b42de,GCM_HB_ALARM (partial),9
f7464522,GCM_HB_ALARM,9
ed1da152,*gms_scheduler*:internal (partial),11
42710fe9,*gms_scheduler*:internal,11
9cef9b02,*telephony-sem-radio* (partial),124
7082e793,*telephony-sem-radio*,123
dbce6d8e,GsmInboundSmsHandler (partial),2
0ce40bc5,SmsDeliverReceiver Receive broadcast -> ReceiverDoInBackground -> SmsDeliverReceiver.doInBackground -> SmsDeliverProcessordeliver#receiveSms -> SmsDeliverProcessor#deliverReceiveSms#transform -> ReceiveSmsMessageHelper.insertMessageInBugleDb -> UsageStatisticsImpl::logMessageSentOrReceivedInSiloExecution -> log_message_sent_or_received -> WorkQueueImpl#queueWorkItemAndReturnFuture -> log_message_sent_or_received (partial),2
